file,mapped_reads
COPE_0645.fp2.repr.2.1-RAW.bam,14532935
COPE_0646.fp2.repr.2.1-RAW.bam,1272800
COPE_0647.fp2.repr.2.1-RAW.bam,5376836
COPE_0648.fp2.repr.2.1-RAW.bam,360802
COPE_0650.fp2.repr.2.1-RAW.bam,10584465
COPE_0651.fp2.repr.2.1-RAW.bam,4237861
COPE_0652.fp2.repr.2.1-RAW.bam,2958638
COPE_0653.fp2.repr.2.1-RAW.bam,2664951
COPE_0656.fp2.repr.2.1-RAW.bam,1117104
COPE_0657.fp2.repr.2.1-RAW.bam,8643783
COPE_0659.fp2.repr.2.1-RAW.bam,897238
COPE_0660.fp2.repr.2.1-RAW.bam,2596154
COPE_0661.fp2.repr.2.1-RAW.bam,20273136
COPE_0663.fp2.repr.2.1-RAW.bam,19597694
COPE_0664.fp2.repr.2.1-RAW.bam,7410842
COPE_0665.fp2.repr.2.1-RAW.bam,4127052
COPE_0666.fp2.repr.2.1-RAW.bam,267402
COPE_0670.fp2.repr.2.1-RAW.bam,431757
COPE_0671.fp2.repr.2.1-RAW.bam,3393795
COPE_0672.fp2.repr.2.1-RAW.bam,1311272
COPE_0673.fp2.repr.2.1-RAW.bam,4542383
COPE_0674.fp2.repr.2.1-RAW.bam,11675472
COPE_0675.fp2.repr.2.1-RAW.bam,30126691
COPE_0677.fp2.repr.2.1-RAW.bam,17085475
COPE_0678.fp2.repr.2.1-RAW.bam,2378114
COPE_0679.fp2.repr.2.1-RAW.bam,2500975
COPE_0680.fp2.repr.2.1-RAW.bam,5403522
COPE_0681.fp2.repr.2.1-RAW.bam,2008157
COPE_0682.fp2.repr.2.1-RAW.bam,11835922
COPE_0683.fp2.repr.2.1-RAW.bam,9737304
COPE_0684.fp2.repr.2.1-RAW.bam,4211848
COPE_0685.fp2.repr.2.1-RAW.bam,2599896
COPE_0686.fp2.repr.2.1-RAW.bam,2046076
COPE_0687.fp2.repr.2.1-RAW.bam,906614
COPE_0688.fp2.repr.2.1-RAW.bam,5575212
COPE_0693.fp2.repr.2.1-RAW.bam,3838271
COPE_0694.fp2.repr.2.1-RAW.bam,5822748
COPE_0695.fp2.repr.2.1-RAW.bam,9738815
COPE_0696.fp2.repr.2.1-RAW.bam,8952859
COPE_0697.fp2.repr.2.1-RAW.bam,3484328
COPE_0698.fp2.repr.2.1-RAW.bam,585998
