prior,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
Jeffreys,pure_a,0.17439757797072464,0.1740775,0.013796904123632615,0.013861568700000016,0.15229500000000004,0.19756155,1.0085305131049822,992.5746272668747,98046.41086784797
Jeffreys,pure_b,0.8069317710428221,0.807251,0.014582486226486432,0.01462955549999996,0.7825483499999999,0.830411,1.0214534136497269,277.90429798828745,1437.551502353058
Jeffreys,F1,0.003833643876716065,0.003416,0.00231460315453475,0.0021082572,8.674500000000007e-4,0.008217,1.0270641151576045,215.21559816787286,203.19472232072226
Jeffreys,F2,0.0030402466951541048,0.002202,0.0031006787827714973,0.0029207219999999997,0,0.009173549999999989,1.3242509115517056,23.494794195812414,97.38426784683536
Jeffreys,a_bx,0.004279202036548777,0.003759,0.002758931395422436,0.0025293156,7.920000000000001e-4,0.009527999999999998,1.0702505746811541,82.4325928082872,381.14109509713234
Jeffreys,b_bx,0.007517554759523593,0.006993999999999999,0.0036443907081302254,0.0034959707999999996,0.00256,0.014305,1.0679208196477592,84.52242831209776,292.02033546983085
uniform,pure_a,0.17348876804254934,0.173187,0.013863440542665884,0.013834140600000008,0.15120345000000004,0.19676055,1.0207766529936042,289.44071799444737,1965.0965045591859
uniform,pure_b,0.8042307622692972,0.8045629999999999,0.01441192510656997,0.014387150399999903,0.7799044500000001,0.82742055,1.0099933561592966,693.7068389502044,80486.20627863296
uniform,F1,0.004825143067551596,0.004412,0.0025781434133548453,0.0024077423999999993,0.001408,0.009664999999999998,1.0233711864379849,277.6198064683705,345.2948479088267
uniform,F2,0.0046213337121556505,0.003998,0.003382750095488996,0.0033165761999999995,4.08e-4,0.011024549999999987,1.268923638937909,26.661549041780077,126.33571231497757
uniform,a_bx,0.005026217001545595,0.004498,0.0031658973819399566,0.0029785434000000003,8.620000000000001e-4,0.010992549999999988,1.202709924160453,32.905769769445314,63.052745741255265
uniform,b_bx,0.007807774915901446,0.00733,0.003580067308920187,0.0034500101999999986,0.0028710000000000003,0.014408549999999989,1.0620195293232537,94.02910255048953,294.1830583722619
