Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0547.fp2.repr,z1,0,1,0,0,0,0
COPE_0548.fp2.repr,z0,0.999999,0,0,0,1.0000000000000002e-6,0
COPE_0549.fp2.repr,z0,0.999993,0,0,0,7.000000000000001e-6,0
COPE_0550.fp2.repr,NA,0.999938,0,0,0,6.2e-5,0
COPE_0551.fp2.repr,NA,0,0.8812858812858813,1.4000014000013998e-5,0.09951609951609952,1.0000010000010001e-6,0.019183019183019186
COPE_0552.fp2.repr,NA,0,0.999936,0,0,0,6.4e-5
COPE_0553.fp2.repr,z0,0.7946955893911788,0.1858453716907434,0.001081002162004324,0.005629011258022516,0.010864021728043455,0.0018850037700075398
COPE_0554.fp2.repr,z0,0.999993,0,0,0,7.000000000000001e-6,0
COPE_0555.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0556.fp2.repr,z0,1,0,0,0,0,0
COPE_0557.fp2.repr,NA,0.999774,0,0,0,2.2600000000000002e-4,0
COPE_0558.fp2.repr,z1,0,1,0,0,0,0
COPE_0559.fp2.repr,z0,0.999995,0,0,0,5e-6,0
COPE_0560.fp2.repr,NA,0,0.998409,0,9e-6,0,0.0015819999999999999
COPE_0561.fp2.repr,z1,0,1,0,0,0,0
COPE_0562.fp2.repr,z0,0.998727,0,0,4.7000000000000004e-5,0.001226,0
COPE_0563.fp2.repr,NA,0,9.99998000004e-7,8.699982600034799e-5,0.003821992356015288,0,0.9960900078199842
COPE_0565.fp2.repr,z1,0,1,0,0,0,0
COPE_0566.fp2.repr,z0,0.999602,0,0,8.000000000000001e-6,3.9e-4,0
COPE_0567.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0568.fp2.repr,NA,0,0.917565,0,4.47e-4,0,0.081988
COPE_0569.fp2.repr,z0,0.999979,0,0,0,2.1e-5,0
COPE_0570.fp2.repr,NA,0,0.9997559997559997,0,0,0,2.44000244000244e-4
COPE_0571.fp2.repr,z1,0.03890707781415563,0.9528009056018112,0.001101002202004404,0.001716003432006864,0.001464002928005856,0.004011008022016044
COPE_0572.fp2.repr,z1,0,1,0,0,0,0
COPE_0573.fp2.repr,NA,0,0.999993,0,0,0,7.000000000000001e-6
COPE_0575.fp2.repr,z1,0,0.999991,0,0,0,9e-6
COPE_0576.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0577.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0578.fp2.repr,z1,8.999999999999999e-5,0.996996,4.7e-5,6.42e-4,4.7000000000000004e-5,0.002178
COPE_0579.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0580.fp2.repr,z1,0,0.999986,0,0,0,1.3999999999999998e-5
COPE_0582.fp2.repr,z0,0.999984,0,0,0,1.6000000000000003e-5,0
COPE_0583.fp2.repr,z1,0,1,0,0,0,0
COPE_0584.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0585.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0586.fp2.repr,NA,0.997723,0,0,1.0000000000000002e-6,0.002276,0
COPE_0587.fp2.repr,NA,0.999602,0,0,3e-6,3.95e-4,0
COPE_0588.fp2.repr,NA,0,0.999967,0,0,0,3.3e-5
COPE_0589.fp2.repr,z1,0,1,0,0,0,0
COPE_0591.fp2.repr,NA,0.43772,0,0,0.002059,0.560221,0
COPE_0592.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0593.fp2.repr,z0,0.999989,0,0,0,1.1000000000000001e-5,0
COPE_0594.fp2.repr,z0,0.9999910000000001,0,0,0,9e-6,0
COPE_0595.fp2.repr,z1,0,0.999992,0,0,0,8.000000000000001e-6
COPE_0596.fp2.repr,z1,0,1,0,0,0,0
COPE_0597.fp2.repr,z1,0,0.999958,0,0,0,4.2e-5
COPE_0598.fp2.repr,NA,0.19962280037719962,0.7154552845447155,0.001915998084001916,0.057689942310057696,0.01376798623201377,0.011547988452011548
COPE_0599.fp2.repr,z1,0,0.999949,0,2.0000000000000003e-6,0,4.9e-5
COPE_0600.fp2.repr,NA,0,0.9998739998739999,0,1.0000010000010001e-6,0,1.25000125000125e-4
