prior,Indiv,Z,hybrid_class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,mean_posterior_probability,sd_posterior_probability,cv_posterior_probability
uniform,COPE_0690.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0690.fp2.repr,NA,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0690.fp2.repr,NA,a_bx,2.3e-4,2e-4,1.3e-4,0,0,0,6.3e-4,1.9e-4,0.00122,3e-5,2.63e-4,3.859202565873479e-4,1.4673774014728056
uniform,COPE_0690.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0692.fp2.repr,z0,pure_a,1,0.99999,1,0.99997,1,0.99998,0.99999,1,1,1,0.999993,1.0593499054707512e-5,1.059357320971998e-5
Jeffreys,COPE_0692.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0692.fp2.repr,z0,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0692.fp2.repr,z0,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0692.fp2.repr,z0,a_bx,0,1e-5,0,3e-5,0,2e-5,1e-5,0,0,0,7.000000000000001e-6,1.0593499054713802e-5,1.5133570078162573
Jeffreys,COPE_0692.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0692.fp2.repr,z0,pure_a,0.99999,0.99943,1,1,1,1,0.99998,1,0.99982,1,0.999922,1.816467879032013e-4,1.8166095745788302e-4
uniform,COPE_0692.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0692.fp2.repr,z0,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0692.fp2.repr,z0,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0692.fp2.repr,z0,a_bx,1e-5,5.7e-4,0,0,0,0,2e-5,0,1.8e-4,0,7.8e-5,1.8164678790321494e-4,2.32880497311814
uniform,COPE_0692.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0693.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0693.fp2.repr,NA,pure_b,1,0.99991,1,1,1,1,1,1,1,0.99995,0.999986,3.098386676966803e-5,3.0984300549875725e-5
Jeffreys,COPE_0693.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0693.fp2.repr,NA,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0693.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0693.fp2.repr,NA,b_bx,0,9e-5,0,0,0,0,0,0,0,5e-5,1.4000000000000001e-5,3.098386676965934e-5,2.2131333406899527
uniform,COPE_0693.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0693.fp2.repr,NA,pure_b,1,1,1,1,1,1,0.99999,1,1,1,0.999999,3.1622776601539877e-6,3.1622808224348103e-6
uniform,COPE_0693.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0693.fp2.repr,NA,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0693.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0693.fp2.repr,NA,b_bx,0,0,0,0,0,0,1e-5,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
Jeffreys,COPE_0694.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0694.fp2.repr,z1,pure_b,1,1,1,0.99999,0.99997,1,1,1,1,1,0.999996,9.66091783078219e-6,9.660956474608089e-6
Jeffreys,COPE_0694.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0694.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0694.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0694.fp2.repr,z1,b_bx,0,0,0,1e-5,3e-5,0,0,0,0,0,4e-6,9.66091783079296e-6,2.4152294576982403
uniform,COPE_0694.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0694.fp2.repr,z1,pure_b,1,1,1,0.99999,1,1,1,1,1,1,0.999999,3.1622776601539877e-6,3.1622808224348103e-6
uniform,COPE_0694.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0694.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0694.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0694.fp2.repr,z1,b_bx,0,0,0,1e-5,0,0,0,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
Jeffreys,COPE_0695.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0695.fp2.repr,z1,pure_b,0.99999,1,1,0.99999,1,1,1,1,1,1,0.999998,4.2163702135386505e-6,4.216378646295943e-6
Jeffreys,COPE_0695.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0695.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0695.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0695.fp2.repr,z1,b_bx,1e-5,0,0,1e-5,0,0,0,0,0,0,2.0000000000000003e-6,4.216370213557839e-6,2.1081851067789192
uniform,COPE_0695.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0695.fp2.repr,z1,pure_b,1,0.99999,0.99999,1,1,1,0.99999,1,1,1,0.999997,4.830458915374496e-6,4.830473406794716e-6
uniform,COPE_0695.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0695.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0695.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0695.fp2.repr,z1,b_bx,0,1e-5,1e-5,0,0,0,1e-5,0,0,0,3e-6,4.83045891539648e-6,1.6101529717988265
Jeffreys,COPE_0696.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0696.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,1,1,1,0,0
Jeffreys,COPE_0696.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0696.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0696.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0696.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0696.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0696.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,1,1,1,0,0
uniform,COPE_0696.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0696.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0696.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0696.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0697.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0697.fp2.repr,NA,pure_b,0.99998,1,1,0.99981,1,1,1,0.99999,0.99999,1,0.999977,5.9076221950977205e-5,5.907758073533412e-5
Jeffreys,COPE_0697.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0697.fp2.repr,NA,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0697.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0697.fp2.repr,NA,b_bx,2e-5,0,0,1.9e-4,0,0,0,1e-5,1e-5,0,2.3e-5,5.9076221950967725e-5,2.56853138917251
uniform,COPE_0697.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0697.fp2.repr,NA,pure_b,1,1,1,1,1,1,0.99998,1,1,1,0.9999979999999999,6.324555320343084e-6,6.324567969479023e-6
uniform,COPE_0697.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0697.fp2.repr,NA,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0697.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0697.fp2.repr,NA,b_bx,0,0,0,0,0,0,2e-5,0,0,0,2.0000000000000003e-6,6.324555320336759e-6,3.162277660168379
Jeffreys,COPE_0698.fp2.repr,z1,pure_a,0,0,1e-5,2e-5,0,0,0,0,0,0,3e-6,6.749485577105529e-6,2.249828525701843
Jeffreys,COPE_0698.fp2.repr,z1,pure_b,0.99885,0.9992,0.99645,0.99541,0.99978,0.99994,0.9994,0.99894,0.99935,0.99987,0.998719,0.001534727264948989,0.0015366957722332197
Jeffreys,COPE_0698.fp2.repr,z1,F1,0,0,2e-5,4e-5,0,0,0,0,0,0,6e-6,1.3498971154211059e-5,2.249828525701843
Jeffreys,COPE_0698.fp2.repr,z1,F2,3e-5,2e-5,4.8e-4,0.00093000000000000005,0,0,2e-5,5e-5,2e-5,0,1.55e-4,3.090577076642268e-4,1.9939206946079149
Jeffreys,COPE_0698.fp2.repr,z1,a_bx,0,0,1e-5,2e-5,0,0,0,0,0,0,3e-6,6.749485577105529e-6,2.249828525701843
Jeffreys,COPE_0698.fp2.repr,z1,b_bx,0.00112,7.8e-4,0.00303,0.00359,2.2e-4,6e-5,5.8e-4,0.00102,6.3e-4,1.3e-4,0.001116,0.0012165451994160439,1.0900942647097167
uniform,COPE_0698.fp2.repr,z1,pure_a,0,0,0,0,0,0.09062,0.00286,0,0,0,0.009348,0.028570211682022163,3.0562913652141805
uniform,COPE_0698.fp2.repr,z1,pure_b,0.99913,0.99857,0.99528,0.99613,0.99957,0.89363,0.99017,0.99964,0.99956,0.99909,0.987077,0.032968941293283885,0.033400576949198374
uniform,COPE_0698.fp2.repr,z1,F1,0,1e-5,1e-5,1e-5,0,0.00266,4.8e-4,0,0,0,3.17e-4,8.367536475371152e-4,2.6396014117890068
uniform,COPE_0698.fp2.repr,z1,F2,2e-5,1.7e-4,4.3e-4,3.9e-4,1e-5,0.00466,0.00112,0,3e-5,7e-5,6.9e-4,0.00143686386890957,2.082411404216768
uniform,COPE_0698.fp2.repr,z1,a_bx,0,1e-5,0,0,0,0.00258,1.8e-4,0,0,0,2.77e-4,8.111452808632167e-4,2.92832231358562
uniform,COPE_0698.fp2.repr,z1,b_bx,8.6e-4,0.00124,0.00427,0.00347,4.1e-4,0.00585,0.00519,3.5e-4,4.1e-4,8.4e-4,0.0022890000000000002,0.002172522599294296,0.9491142854059833
Jeffreys,COPE_0699.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0699.fp2.repr,z1,pure_b,1,0.99998,1,1,1,1,1,1,1,1,0.9999979999999999,6.324555320343084e-6,6.324567969479023e-6
Jeffreys,COPE_0699.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0699.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0699.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0699.fp2.repr,z1,b_bx,0,2e-5,0,0,0,0,0,0,0,0,2.0000000000000003e-6,6.324555320336759e-6,3.162277660168379
uniform,COPE_0699.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0699.fp2.repr,z1,pure_b,1,1,0.99999,1,1,1,1,1,0.99998,1,0.999997,6.7494855771058825e-6,6.749505825623359e-6
uniform,COPE_0699.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0699.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0699.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0699.fp2.repr,z1,b_bx,0,0,1e-5,0,0,0,0,0,2e-5,0,3e-6,6.749485577105529e-6,2.249828525701843
Jeffreys,COPE_0700.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0700.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,0.99999,1,0.999999,3.1622776601539877e-6,3.1622808224348103e-6
Jeffreys,COPE_0700.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0700.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0700.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0700.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,0,1e-5,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
uniform,COPE_0700.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0700.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,1,1,1,0,0
uniform,COPE_0700.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0700.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0700.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0700.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0701.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0701.fp2.repr,z1,pure_b,0.99998,0.99998,0.99999,0.99998,0.99997,0.99998,0.99996,0.99982,0.99982,0.99999,0.999947,6.750308634917807e-5,6.75066642023808e-5
Jeffreys,COPE_0701.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0701.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0701.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0701.fp2.repr,z1,b_bx,2e-5,2e-5,1e-5,2e-5,3e-5,2e-5,4e-5,1.8e-4,1.8e-4,1e-5,5.3e-5,6.750308634919346e-5,1.2736431386640275
uniform,COPE_0701.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0701.fp2.repr,z1,pure_b,0.99936,0.99985,0.99998,0.99989,1,0.99992,0.99973,0.99988,0.99988,0.99998,0.999847,1.882699008220677e-4,1.88298710524778e-4
uniform,COPE_0701.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0701.fp2.repr,z1,F2,1e-5,0,0,0,0,0,0,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
uniform,COPE_0701.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0701.fp2.repr,z1,b_bx,6.3e-4,1.5e-4,2e-5,1.1e-4,0,8e-5,2.7e-4,1.2e-4,1.2e-4,2e-5,1.52e-4,1.854004674571597e-4,1.2197399174813137
Jeffreys,COPE_0702.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0702.fp2.repr,z1,pure_b,0.99998,1,1,0.99995,1,1,1,1,1,1,0.999993,1.6363916944844925e-5,1.6364031493065376e-5
Jeffreys,COPE_0702.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0702.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0702.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0702.fp2.repr,z1,b_bx,2e-5,0,0,5e-5,0,0,0,0,0,0,7.000000000000001e-6,1.636391694484477e-5,2.3377024206921098
uniform,COPE_0702.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0702.fp2.repr,z1,pure_b,1,1,0.99997,1,1,1,1,1,1,1,0.999997,9.486832980497072e-6,9.486861441081395e-6
uniform,COPE_0702.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0702.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0702.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0702.fp2.repr,z1,b_bx,0,0,3e-5,0,0,0,0,0,0,0,3e-6,9.486832980505138e-6,3.162277660168379
Jeffreys,COPE_0703.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0703.fp2.repr,z1,pure_b,1,1,1,1,1,0.99999,1,1,1,1,0.999999,3.1622776601539877e-6,3.1622808224348103e-6
Jeffreys,COPE_0703.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0703.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0703.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0703.fp2.repr,z1,b_bx,0,0,0,0,0,1e-5,0,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
uniform,COPE_0703.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0703.fp2.repr,z1,pure_b,1,1,0.9998,1,1,1,0.99958,1,1,1,0.999938,1.406176849949207e-4,1.4062640383195828e-4
uniform,COPE_0703.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0703.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0703.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0703.fp2.repr,z1,b_bx,0,0,2e-4,0,0,0,4.2e-4,0,0,0,6.2e-5,1.406176849949299e-4,2.268027177337579
Jeffreys,COPE_0704.fp2.repr,z0,pure_a,1,1,1,0.99999,1,0.99999,1,1,0.99999,1,0.999997,4.830458915374496e-6,4.830473406794716e-6
Jeffreys,COPE_0704.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0704.fp2.repr,z0,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0704.fp2.repr,z0,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0704.fp2.repr,z0,a_bx,0,0,0,1e-5,0,1e-5,0,0,1e-5,0,3e-6,4.83045891539648e-6,1.6101529717988265
Jeffreys,COPE_0704.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0704.fp2.repr,z0,pure_a,1,0.99997,0.99999,1,1,1,1,1,1,1,0.999996,9.66091783078219e-6,9.660956474608089e-6
uniform,COPE_0704.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0704.fp2.repr,z0,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0704.fp2.repr,z0,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0704.fp2.repr,z0,a_bx,0,3e-5,1e-5,0,0,0,0,0,0,0,4e-6,9.66091783079296e-6,2.4152294576982403
uniform,COPE_0704.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0705.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0705.fp2.repr,z1,pure_b,1,1,1,0.99999,1,1,1,1,1,1,0.999999,3.1622776601539877e-6,3.1622808224348103e-6
Jeffreys,COPE_0705.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0705.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0705.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0705.fp2.repr,z1,b_bx,0,0,0,1e-5,0,0,0,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
uniform,COPE_0705.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0705.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,1,1,1,0,0
uniform,COPE_0705.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0705.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0705.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0705.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0706.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0706.fp2.repr,z1,pure_b,0.99978,0.99998,0.99995,0.99985,1,0.99999,0.9998,0.99952,0.99966,0.99998,0.999851,1.6271652241450375e-4,1.6274077078935135e-4
Jeffreys,COPE_0706.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0706.fp2.repr,z1,F2,0,0,0,0,0,0,0,1e-5,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
Jeffreys,COPE_0706.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0706.fp2.repr,z1,b_bx,2.2e-4,2e-5,5e-5,1.5e-4,0,1e-5,2e-4,4.7e-4,3.4e-4,2e-5,1.48e-4,1.6047152741564813e-4,1.0842670771327576
uniform,COPE_0706.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0706.fp2.repr,z1,pure_b,0.99997,0.99925,0.99994,0.9998,1,0.99986,0.99998,0.99998,0.99993,1,0.999871,2.2752045085125728e-4,2.275498047760734e-4
uniform,COPE_0706.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0706.fp2.repr,z1,F2,0,6e-5,0,0,0,0,0,0,0,0,6e-6,1.8973665961010275e-5,3.162277660168379
uniform,COPE_0706.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0706.fp2.repr,z1,b_bx,3e-5,6.9e-4,6e-5,2e-4,0,1.4e-4,2e-5,2e-5,7e-5,0,1.23e-4,2.0939330351173017e-4,1.7023845813961802
Jeffreys,COPE_0707.fp2.repr,NA,pure_a,0.9941,0.93858,0.99885,0.98238,0.99915,0.99937,0.0153,0.97357,0.97194,0.37034,0.824358,0.34370703370425487,0.416939040688942
Jeffreys,COPE_0707.fp2.repr,NA,pure_b,0,0,0,0.003,0,0,0.97471,1.5e-4,9e-5,0.60705,0.1585,0.34437637956166506,2.1727216376130287
Jeffreys,COPE_0707.fp2.repr,NA,F1,1e-5,0,0,5.9e-4,0,0,8.8e-4,1.4e-4,1.1e-4,0.00477,6.5e-4,0.0014788208515946451,2.2751090024533003
Jeffreys,COPE_0707.fp2.repr,NA,F2,5.6e-4,0.0025,4e-5,0.00317,1e-5,0,0.00181,0.01009,0.00927,0.0053,0.003275,0.0037780807885015436,1.153612454504288
Jeffreys,COPE_0707.fp2.repr,NA,a_bx,0.00533,0.05892,0.00111,0.01049,8.4e-4,6.3e-4,9.7e-4,0.01588,0.01848,0.00682,0.011947,0.017720609501682246,1.4832685612858665
Jeffreys,COPE_0707.fp2.repr,NA,b_bx,0,0,0,3.6e-4,0,0,0.00632,1.7e-4,1.1e-4,0.00572,0.001268,0.0025111564401021826,1.9804072871468317
uniform,COPE_0707.fp2.repr,NA,pure_a,0.98697,0.0849,0.99289,0.92652,0.21792,0.22532,0.88391,0.99848,0.9794,0.97455,0.727086,0.3836283834418697,0.5276244948216163
uniform,COPE_0707.fp2.repr,NA,pure_b,4e-5,0.89634,0,0,0.00119,0.74956,0.07277,0,0.00675,0,0.172665,0.3452013937222412,1.9992551688080453
uniform,COPE_0707.fp2.repr,NA,F1,8e-5,0.00282,2e-5,0,0.007,0.00551,0.01048,0,0.00276,0,0.002867,0.003690384051077129,1.2871935999571429
uniform,COPE_0707.fp2.repr,NA,F2,0.00148,0.00429,5e-4,0.00483,0.42417,0.00703,0.01027,6e-5,0.00503,0.00722,0.046488,0.13274258613321246,2.855416153269929
uniform,COPE_0707.fp2.repr,NA,a_bx,0.01139,0.00516,0.00658,0.06865,0.34313,0.00569,0.01278,0.00146,0.00501,0.01823,0.047807999999999996,0.10559350461926045,2.2086994774778375
uniform,COPE_0707.fp2.repr,NA,b_bx,5e-5,0.00648,0,0,0.00659,0.00689,0.00979,0,0.00105,0,0.003085,0.003868210180432289,1.2538768818257013
Jeffreys,COPE_0708.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0708.fp2.repr,z1,pure_b,1,1,1,1,0.99999,1,1,1,1,1,0.999999,3.1622776601539877e-6,3.1622808224348103e-6
Jeffreys,COPE_0708.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0708.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0708.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0708.fp2.repr,z1,b_bx,0,0,0,0,1e-5,0,0,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
uniform,COPE_0708.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0708.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,1,1,1,0,0
uniform,COPE_0708.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0708.fp2.repr,z1,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
