n.pca,success
1,0.9047619047619048
1,0.9047619047619048
1,0.9285714285714286
1,0.9285714285714286
1,0.9285714285714286
1,0.8571428571428571
1,0.7619047619047619
1,0.9523809523809523
1,0.8333333333333333
1,0.8571428571428571
2,0.9761904761904762
2,0.9047619047619048
2,0.9761904761904762
2,0.7857142857142857
2,0.9285714285714286
2,0.9285714285714286
2,0.9047619047619047
2,0.8809523809523809
2,0.7619047619047619
2,0.9285714285714286
3,0.8809523809523809
3,0.9761904761904762
3,0.7380952380952381
3,0.8333333333333333
3,0.8333333333333333
3,0.9047619047619048
3,0.8809523809523809
3,0.8095238095238095
3,0.9285714285714286
3,0.9285714285714286
4,0.8095238095238095
4,0.9523809523809523
4,0.8571428571428571
4,0.8571428571428571
4,0.8571428571428571
4,0.9523809523809523
4,0.9523809523809523
4,0.8571428571428571
4,0.7142857142857143
4,0.9047619047619047
5,0.7857142857142857
5,0.9523809523809523
5,0.9285714285714286
5,0.9047619047619048
5,0.9285714285714286
5,0.8809523809523809
5,0.8809523809523809
5,0.9047619047619048
5,0.8095238095238095
5,0.8809523809523809
6,0.8333333333333333
6,0.8809523809523809
6,0.8095238095238095
6,0.9047619047619048
6,0.8571428571428571
6,1
6,0.8333333333333333
6,0.8809523809523809
6,0.8333333333333333
6,0.7619047619047619
7,0.8571428571428571
7,0.7619047619047619
7,0.8809523809523809
7,0.9285714285714286
7,1
7,0.7619047619047619
7,0.8571428571428571
7,0.8095238095238095
7,0.7857142857142857
7,0.8809523809523809
8,0.8333333333333333
8,0.9047619047619048
8,0.7857142857142857
8,0.7857142857142857
8,0.9285714285714286
8,0.9523809523809523
8,0.9285714285714286
8,0.9523809523809523
8,0.9047619047619048
8,0.9285714285714286
9,0.8571428571428572
9,0.8571428571428571
9,0.9523809523809523
9,0.7380952380952381
9,0.8809523809523809
9,0.9047619047619048
9,0.8333333333333333
9,0.9523809523809523
9,0.7857142857142857
9,0.8809523809523809
10,0.9285714285714286
10,0.8571428571428571
10,0.7857142857142857
10,0.8095238095238095
10,0.9523809523809523
10,0.9285714285714286
10,0.8095238095238095
