file,sample,number_reads
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0517.r1.fq.gz,COPE-0517,3130730
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0518.r1.fq.gz,COPE-0518,372526
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0519.r1.fq.gz,COPE-0519,731758
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0520.r1.fq.gz,COPE-0520,283282
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0521.r1.fq.gz,COPE-0521,1147343
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0522.r1.fq.gz,COPE-0522,3099761
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0523.r1.fq.gz,COPE-0523,290216
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0524.r1.fq.gz,COPE-0524,428518
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0525.r1.fq.gz,COPE-0525,3559881
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0526.r1.fq.gz,COPE-0526,1136159
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0527.r1.fq.gz,COPE-0527,369515
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0528.r1.fq.gz,COPE-0528,2460548
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0529.r1.fq.gz,COPE-0529,4419390
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0530.r1.fq.gz,COPE-0530,2699633
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0531.r1.fq.gz,COPE-0531,1792509
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0532.r1.fq.gz,COPE-0532,669224
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0533.r1.fq.gz,COPE-0533,360
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0534.r1.fq.gz,COPE-0534,1982356
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0535.r1.fq.gz,COPE-0535,1244529
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0536.r1.fq.gz,COPE-0536,508547
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0537.r1.fq.gz,COPE-0537,1311569
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0538.r1.fq.gz,COPE-0538,1377022
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0539.r1.fq.gz,COPE-0539,914034
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0540.r1.fq.gz,COPE-0540,474908
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0541.r1.fq.gz,COPE-0541,447623
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0542.r1.fq.gz,COPE-0542,800592
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0543.r1.fq.gz,COPE-0543,3178081
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0544.r1.fq.gz,COPE-0544,572125
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0545.r1.fq.gz,COPE-0545,603069
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0546.r1.fq.gz,COPE-0546,1158922
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0547.r1.fq.gz,COPE-0547,1163365
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0548.r1.fq.gz,COPE-0548,392762
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0549.r1.fq.gz,COPE-0549,200991
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0550.r1.fq.gz,COPE-0550,580492
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0551.r1.fq.gz,COPE-0551,1646241
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0552.r1.fq.gz,COPE-0552,742579
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0553.r1.fq.gz,COPE-0553,165868
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0554.r1.fq.gz,COPE-0554,345060
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0555.r1.fq.gz,COPE-0555,2130118
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0556.r1.fq.gz,COPE-0556,4908606
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0557.r1.fq.gz,COPE-0557,1453380
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0558.r1.fq.gz,COPE-0558,577035
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0559.r1.fq.gz,COPE-0559,1039289
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0560.r1.fq.gz,COPE-0560,4484009
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0561.r1.fq.gz,COPE-0561,1512775
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0562.r1.fq.gz,COPE-0562,20830
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0563.r1.fq.gz,COPE-0563,1275672
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0564.r1.fq.gz,COPE-0564,794
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0565.r1.fq.gz,COPE-0565,10955050
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0566.r1.fq.gz,COPE-0566,1789847
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0567.r1.fq.gz,COPE-0567,2008793
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0568.r1.fq.gz,COPE-0568,103946
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0569.r1.fq.gz,COPE-0569,641014
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0570.r1.fq.gz,COPE-0570,6005648
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0571.r1.fq.gz,COPE-0571,194008
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0572.r1.fq.gz,COPE-0572,1222989
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0573.r1.fq.gz,COPE-0573,553513
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0574.r1.fq.gz,COPE-0574,2619
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0575.r1.fq.gz,COPE-0575,2090965
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0576.r1.fq.gz,COPE-0576,1256973
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0577.r1.fq.gz,COPE-0577,524084
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0578.r1.fq.gz,COPE-0578,280905
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0579.r1.fq.gz,COPE-0579,5416729
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0580.r1.fq.gz,COPE-0580,314321
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0581.r1.fq.gz,COPE-0581,1082
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0582.r1.fq.gz,COPE-0582,12970008
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0583.r1.fq.gz,COPE-0583,1086895
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0584.r1.fq.gz,COPE-0584,10872178
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0585.r1.fq.gz,COPE-0585,117551
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0586.r1.fq.gz,COPE-0586,942889
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0587.r1.fq.gz,COPE-0587,3220113
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0588.r1.fq.gz,COPE-0588,2030662
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0589.r1.fq.gz,COPE-0589,4044981
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0590.r1.fq.gz,COPE-0590,4010
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0591.r1.fq.gz,COPE-0591,1363522
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0592.r1.fq.gz,COPE-0592,1675473
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0593.r1.fq.gz,COPE-0593,648553
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0594.r1.fq.gz,COPE-0594,1852630
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0595.r1.fq.gz,COPE-0595,4934446
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0596.r1.fq.gz,COPE-0596,10699026
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0597.r1.fq.gz,COPE-0597,3404891
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0598.r1.fq.gz,COPE-0598,34628
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0599.r1.fq.gz,COPE-0599,101920
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0600.r1.fq.gz,COPE-0600,5096179
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0601.r1.fq.gz,COPE-0601,2800741
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0602.r1.fq.gz,COPE-0602,2377904
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0603.r1.fq.gz,COPE-0603,802678
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0604.r1.fq.gz,COPE-0604,358250
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0605.r1.fq.gz,COPE-0605,245586
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0606.r1.fq.gz,COPE-0606,151883
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0607.r1.fq.gz,COPE-0607,5334138
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0608.r1.fq.gz,COPE-0608,1224648
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0609.r1.fq.gz,COPE-0609,3341
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0610.r1.fq.gz,COPE-0610,2233272
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0611.r1.fq.gz,COPE-0611,5476327
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0612.r1.fq.gz,COPE-0612,1722294
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0613.r1.fq.gz,COPE-0613,3950728
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0614.r1.fq.gz,COPE-0614,5715424
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0615.r1.fq.gz,COPE-0615,1481040
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0616.r1.fq.gz,COPE-0616,4335349
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0617.r1.fq.gz,COPE-0617,1340703
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0618.r1.fq.gz,COPE-0618,4397748
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0619.r1.fq.gz,COPE-0619,869731
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0620.r1.fq.gz,COPE-0620,1182208
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0621.r1.fq.gz,COPE-0621,1816354
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0622.r1.fq.gz,COPE-0622,150809
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0623.r1.fq.gz,COPE-0623,3252489
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0624.r1.fq.gz,COPE-0624,1819204
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0625.r1.fq.gz,COPE-0625,82857
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0626.r1.fq.gz,COPE-0626,593685
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0627.r1.fq.gz,COPE-0627,1468072
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0628.r1.fq.gz,COPE-0628,19117
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0629.r1.fq.gz,COPE-0629,1633343
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0630.r1.fq.gz,COPE-0630,3469317
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0631.r1.fq.gz,COPE-0631,2905654
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0632.r1.fq.gz,COPE-0632,343330
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0633.r1.fq.gz,COPE-0633,4122144
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0634.r1.fq.gz,COPE-0634,3581351
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0635.r1.fq.gz,COPE-0635,224527
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0636.r1.fq.gz,COPE-0636,2226317
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0637.r1.fq.gz,COPE-0637,4075996
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0638.r1.fq.gz,COPE-0638,2289765
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0639.r1.fq.gz,COPE-0639,4699569
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0640.r1.fq.gz,COPE-0640,7677930
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0641.r1.fq.gz,COPE-0641,12044
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0642.r1.fq.gz,COPE-0642,779762
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0643.r1.fq.gz,COPE-0643,685734
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0644.r1.fq.gz,COPE-0644,783680
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0645.r1.fq.gz,COPE-0645,5547872
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0646.r1.fq.gz,COPE-0646,359988
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0647.r1.fq.gz,COPE-0647,2017587
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0648.r1.fq.gz,COPE-0648,131169
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0649.r1.fq.gz,COPE-0649,3955702
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0650.r1.fq.gz,COPE-0650,3960903
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0651.r1.fq.gz,COPE-0651,1295733
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0652.r1.fq.gz,COPE-0652,1008328
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0653.r1.fq.gz,COPE-0653,1003059
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0654.r1.fq.gz,COPE-0654,1051681
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0655.r1.fq.gz,COPE-0655,1103537
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0656.r1.fq.gz,COPE-0656,378678
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0657.r1.fq.gz,COPE-0657,2913228
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0658.r1.fq.gz,COPE-0658,760066
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0659.r1.fq.gz,COPE-0659,319621
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0660.r1.fq.gz,COPE-0660,905474
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0661.r1.fq.gz,COPE-0661,7460109
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0662.r1.fq.gz,COPE-0662,2249300
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0663.r1.fq.gz,COPE-0663,7618708
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0664.r1.fq.gz,COPE-0664,2739644
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0665.r1.fq.gz,COPE-0665,1498961
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0666.r1.fq.gz,COPE-0666,77294
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0667.r1.fq.gz,COPE-0667,3084567
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0668.r1.fq.gz,COPE-0668,486542
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0669.r1.fq.gz,COPE-0669,306086
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0670.r1.fq.gz,COPE-0670,147019
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0671.r1.fq.gz,COPE-0671,1048216
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0672.r1.fq.gz,COPE-0672,460297
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0673.r1.fq.gz,COPE-0673,1442425
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0674.r1.fq.gz,COPE-0674,3952285
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0675.r1.fq.gz,COPE-0675,8944934
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0676.r1.fq.gz,COPE-0676,1909858
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0677.r1.fq.gz,COPE-0677,5832796
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0678.r1.fq.gz,COPE-0678,861253
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1/COPE-0679.r1.fq.gz,COPE-0679,718129
