file,mapped_reads
COPE_0651.fp2.repr.2.1-RG.bam,739968
COPE_0652.fp2.repr.2.1-RG.bam,1069320
COPE_0653.fp2.repr.2.1-RG.bam,1178763
COPE_0656.fp2.repr.2.1-RG.bam,408028
COPE_0657.fp2.repr.2.1-RG.bam,3401548
COPE_0659.fp2.repr.2.1-RG.bam,350330
COPE_0660.fp2.repr.2.1-RG.bam,1014516
COPE_0661.fp2.repr.2.1-RG.bam,8537324
COPE_0663.fp2.repr.2.1-RG.bam,8414990
COPE_0664.fp2.repr.2.1-RG.bam,3145143
COPE_0665.fp2.repr.2.1-RG.bam,1709097
COPE_0666.fp2.repr.2.1-RG.bam,65875
COPE_0670.fp2.repr.2.1-RG.bam,151437
COPE_0671.fp2.repr.2.1-RG.bam,786044
COPE_0672.fp2.repr.2.1-RG.bam,478915
COPE_0673.fp2.repr.2.1-RG.bam,1141689
COPE_0674.fp2.repr.2.1-RG.bam,4533424
COPE_0675.fp2.repr.2.1-RG.bam,6351930
COPE_0677.fp2.repr.2.1-RG.bam,6694938
COPE_0678.fp2.repr.2.1-RG.bam,1003332
COPE_0679.fp2.repr.2.1-RG.bam,471751
COPE_0680.fp2.repr.2.1-RG.bam,2291530
COPE_0681.fp2.repr.2.1-RG.bam,886410
COPE_0682.fp2.repr.2.1-RG.bam,4748085
COPE_0683.fp2.repr.2.1-RG.bam,3957351
COPE_0684.fp2.repr.2.1-RG.bam,1726726
COPE_0685.fp2.repr.2.1-RG.bam,1167977
COPE_0686.fp2.repr.2.1-RG.bam,868221
COPE_0687.fp2.repr.2.1-RG.bam,331799
COPE_0688.fp2.repr.2.1-RG.bam,2257496
COPE_0693.fp2.repr.2.1-RG.bam,1644529
COPE_0694.fp2.repr.2.1-RG.bam,3352600
COPE_0695.fp2.repr.2.1-RG.bam,3875388
COPE_0696.fp2.repr.2.1-RG.bam,3784986
COPE_0697.fp2.repr.2.1-RG.bam,1900170
COPE_0698.fp2.repr.2.1-RG.bam,175513
COPE_0699.fp2.repr.2.1-RG.bam,13940653
COPE_0700.fp2.repr.2.1-RG.bam,3347038
COPE_0701.fp2.repr.2.1-RG.bam,316115
COPE_0702.fp2.repr.2.1-RG.bam,4342875
COPE_0703.fp2.repr.2.1-RG.bam,1458908
COPE_0705.fp2.repr.2.1-RG.bam,10004908
COPE_0706.fp2.repr.2.1-RG.bam,1604082
COPE_0708.fp2.repr.2.1-RG.bam,5923956
COPE_0709.fp2.repr.2.1-RG.bam,5244581
COPE_0710.fp2.repr.2.1-RG.bam,25046
COPE_0712.fp2.repr.2.1-RG.bam,1651075
COPE_0713.fp2.repr.2.1-RG.bam,2274350
COPE_0715.fp2.repr.2.1-RG.bam,280106
COPE_0716.fp2.repr.2.1-RG.bam,4264217
COPE_0717.fp2.repr.2.1-RG.bam,2745389
COPE_0722.fp2.repr.2.1-RG.bam,2992904
COPE_0725.fp2.repr.2.1-RG.bam,3860322
COPE_0726.fp2.repr.2.1-RG.bam,4590570
COPE_0727.fp2.repr.2.1-RG.bam,431095
COPE_0728.fp2.repr.2.1-RG.bam,449644
COPE_0729.fp2.repr.2.1-RG.bam,1942959
COPE_0730.fp2.repr.2.1-RG.bam,1377833
COPE_0731.fp2.repr.2.1-RG.bam,1163149
COPE_0732.fp2.repr.2.1-RG.bam,2090718
