file,mapped_reads
COPE_0585.fp2.repr.10.1-RAW.bam,333452
COPE_0586.fp2.repr.10.1-RAW.bam,2901261
COPE_0587.fp2.repr.10.1-RAW.bam,7646981
COPE_0588.fp2.repr.10.1-RAW.bam,5277355
COPE_0589.fp2.repr.10.1-RAW.bam,10774256
COPE_0591.fp2.repr.10.1-RAW.bam,4359121
COPE_0592.fp2.repr.10.1-RAW.bam,4682957
COPE_0593.fp2.repr.10.1-RAW.bam,1875607
COPE_0594.fp2.repr.10.1-RAW.bam,5650860
COPE_0595.fp2.repr.10.1-RAW.bam,12932315
COPE_0596.fp2.repr.10.1-RAW.bam,35826657
COPE_0597.fp2.repr.10.1-RAW.bam,9799507
COPE_0598.fp2.repr.10.1-RAW.bam,87133
COPE_0599.fp2.repr.10.1-RAW.bam,296416
COPE_0600.fp2.repr.10.1-RAW.bam,17282192
COPE_0601.fp2.repr.10.1-RAW.bam,8835692
COPE_0602.fp2.repr.10.1-RAW.bam,6330080
COPE_0603.fp2.repr.10.1-RAW.bam,2792198
COPE_0604.fp2.repr.10.1-RAW.bam,1211711
COPE_0605.fp2.repr.10.1-RAW.bam,744158
COPE_0606.fp2.repr.10.1-RAW.bam,464696
COPE_0607.fp2.repr.10.1-RAW.bam,14582094
COPE_0608.fp2.repr.10.1-RAW.bam,3368656
COPE_0610.fp2.repr.10.1-RAW.bam,6245840
COPE_0611.fp2.repr.10.1-RAW.bam,14578052
COPE_0612.fp2.repr.10.1-RAW.bam,4589247
COPE_0613.fp2.repr.10.1-RAW.bam,10598158
COPE_0614.fp2.repr.10.1-RAW.bam,14352387
COPE_0615.fp2.repr.10.1-RAW.bam,4597589
COPE_0616.fp2.repr.10.1-RAW.bam,13296728
COPE_0617.fp2.repr.10.1-RAW.bam,3357658
COPE_0618.fp2.repr.10.1-RAW.bam,14890155
COPE_0619.fp2.repr.10.1-RAW.bam,2777680
COPE_0620.fp2.repr.10.1-RAW.bam,3538784
COPE_0621.fp2.repr.10.1-RAW.bam,5209898
COPE_0622.fp2.repr.10.1-RAW.bam,454368
COPE_0623.fp2.repr.10.1-RAW.bam,9415756
COPE_0624.fp2.repr.10.1-RAW.bam,5067298
COPE_0625.fp2.repr.10.1-RAW.bam,221269
COPE_0626.fp2.repr.10.1-RAW.bam,1910756
COPE_0627.fp2.repr.10.1-RAW.bam,4845401
COPE_0628.fp2.repr.10.1-RAW.bam,64693
COPE_0629.fp2.repr.10.1-RAW.bam,5271367
COPE_0630.fp2.repr.10.1-RAW.bam,10649531
COPE_0631.fp2.repr.10.1-RAW.bam,7765045
COPE_0632.fp2.repr.10.1-RAW.bam,987633
COPE_0633.fp2.repr.10.1-RAW.bam,10628694
COPE_0634.fp2.repr.10.1-RAW.bam,9593041
COPE_0635.fp2.repr.10.1-RAW.bam,691843
COPE_0636.fp2.repr.10.1-RAW.bam,7000473
COPE_0637.fp2.repr.10.1-RAW.bam,10961357
COPE_0638.fp2.repr.10.1-RAW.bam,7775925
COPE_0639.fp2.repr.10.1-RAW.bam,12240070
COPE_0640.fp2.repr.10.1-RAW.bam,25970192
COPE_0641.fp2.repr.10.1-RAW.bam,32176
COPE_0642.fp2.repr.10.1-RAW.bam,2064841
COPE_0643.fp2.repr.10.1-RAW.bam,1885436
COPE_0644.fp2.repr.10.1-RAW.bam,2421384
COPE_0645.fp2.repr.10.1-RAW.bam,14651672
COPE_0646.fp2.repr.10.1-RAW.bam,1236679
COPE_0647.fp2.repr.10.1-RAW.bam,5111030
COPE_0648.fp2.repr.10.1-RAW.bam,370433
COPE_0649.fp2.repr.10.1-RAW.bam,12590434
COPE_0650.fp2.repr.10.1-RAW.bam,10758611
COPE_0651.fp2.repr.10.1-RAW.bam,4169408
COPE_0652.fp2.repr.10.1-RAW.bam,2838070
COPE_0653.fp2.repr.10.1-RAW.bam,2565694
COPE_0654.fp2.repr.10.1-RAW.bam,3194547
COPE_0655.fp2.repr.10.1-RAW.bam,2995638
COPE_0656.fp2.repr.10.1-RAW.bam,1075854
COPE_0657.fp2.repr.10.1-RAW.bam,8163075
COPE_0658.fp2.repr.10.1-RAW.bam,2072879
COPE_0659.fp2.repr.10.1-RAW.bam,856042
COPE_0660.fp2.repr.10.1-RAW.bam,2495287
