file,mapped_reads
COPE_0585.fp2.repr.20.10-RAW.bam,276215
COPE_0586.fp2.repr.20.10-RAW.bam,2116564
COPE_0587.fp2.repr.20.10-RAW.bam,5660509
COPE_0588.fp2.repr.20.10-RAW.bam,4844032
COPE_0589.fp2.repr.20.10-RAW.bam,9771048
COPE_0591.fp2.repr.20.10-RAW.bam,3345997
COPE_0592.fp2.repr.20.10-RAW.bam,3972111
COPE_0593.fp2.repr.20.10-RAW.bam,1514221
COPE_0594.fp2.repr.20.10-RAW.bam,4365052
COPE_0595.fp2.repr.20.10-RAW.bam,11852256
COPE_0596.fp2.repr.20.10-RAW.bam,25500536
COPE_0597.fp2.repr.20.10-RAW.bam,8100380
COPE_0598.fp2.repr.20.10-RAW.bam,76075
COPE_0599.fp2.repr.20.10-RAW.bam,237846
COPE_0600.fp2.repr.20.10-RAW.bam,12045110
COPE_0601.fp2.repr.20.10-RAW.bam,6685289
COPE_0602.fp2.repr.20.10-RAW.bam,5757118
COPE_0603.fp2.repr.20.10-RAW.bam,1939786
COPE_0604.fp2.repr.20.10-RAW.bam,863793
COPE_0605.fp2.repr.20.10-RAW.bam,569793
COPE_0606.fp2.repr.20.10-RAW.bam,359903
COPE_0607.fp2.repr.20.10-RAW.bam,13108904
COPE_0608.fp2.repr.20.10-RAW.bam,2859132
COPE_0610.fp2.repr.20.10-RAW.bam,5274364
COPE_0611.fp2.repr.20.10-RAW.bam,13483300
COPE_0612.fp2.repr.20.10-RAW.bam,4077744
COPE_0613.fp2.repr.20.10-RAW.bam,9618299
COPE_0614.fp2.repr.20.10-RAW.bam,10806146
COPE_0615.fp2.repr.20.10-RAW.bam,3351338
COPE_0616.fp2.repr.20.10-RAW.bam,10762135
COPE_0617.fp2.repr.20.10-RAW.bam,2452105
COPE_0618.fp2.repr.20.10-RAW.bam,11137066
COPE_0619.fp2.repr.20.10-RAW.bam,2063327
COPE_0620.fp2.repr.20.10-RAW.bam,2880724
COPE_0621.fp2.repr.20.10-RAW.bam,3949115
COPE_0622.fp2.repr.20.10-RAW.bam,361856
COPE_0623.fp2.repr.20.10-RAW.bam,6532957
COPE_0624.fp2.repr.20.10-RAW.bam,4139315
COPE_0625.fp2.repr.20.10-RAW.bam,177711
COPE_0626.fp2.repr.20.10-RAW.bam,1433080
COPE_0627.fp2.repr.20.10-RAW.bam,3453991
COPE_0628.fp2.repr.20.10-RAW.bam,46725
COPE_0629.fp2.repr.20.10-RAW.bam,3785786
COPE_0630.fp2.repr.20.10-RAW.bam,8244893
COPE_0631.fp2.repr.20.10-RAW.bam,6224369
COPE_0632.fp2.repr.20.10-RAW.bam,778581
COPE_0633.fp2.repr.20.10-RAW.bam,9631567
COPE_0634.fp2.repr.20.10-RAW.bam,8652126
COPE_0635.fp2.repr.20.10-RAW.bam,519880
COPE_0636.fp2.repr.20.10-RAW.bam,5290580
COPE_0637.fp2.repr.20.10-RAW.bam,9897786
COPE_0638.fp2.repr.20.10-RAW.bam,5946539
COPE_0639.fp2.repr.20.10-RAW.bam,11025436
COPE_0640.fp2.repr.20.10-RAW.bam,18278248
COPE_0641.fp2.repr.20.10-RAW.bam,27891
COPE_0642.fp2.repr.20.10-RAW.bam,1805924
COPE_0643.fp2.repr.20.10-RAW.bam,1581499
COPE_0644.fp2.repr.20.10-RAW.bam,1858936
COPE_0645.fp2.repr.20.10-RAW.bam,12954975
COPE_0646.fp2.repr.20.10-RAW.bam,863211
COPE_0647.fp2.repr.20.10-RAW.bam,4682855
COPE_0648.fp2.repr.20.10-RAW.bam,322890
COPE_0649.fp2.repr.20.10-RAW.bam,10036845
COPE_0650.fp2.repr.20.10-RAW.bam,9468950
COPE_0651.fp2.repr.20.10-RAW.bam,3039760
COPE_0652.fp2.repr.20.10-RAW.bam,2413660
COPE_0653.fp2.repr.20.10-RAW.bam,2369373
COPE_0654.fp2.repr.20.10-RAW.bam,2525220
COPE_0655.fp2.repr.20.10-RAW.bam,2537131
COPE_0656.fp2.repr.20.10-RAW.bam,913640
COPE_0657.fp2.repr.20.10-RAW.bam,7138818
COPE_0658.fp2.repr.20.10-RAW.bam,1514070
COPE_0659.fp2.repr.20.10-RAW.bam,735686
COPE_0660.fp2.repr.20.10-RAW.bam,2167021
COPE_0661.fp2.repr.20.10-RAW.bam,17941783
COPE_0662.fp2.repr.20.10-RAW.bam,5183696
COPE_0663.fp2.repr.20.10-RAW.bam,16743041
COPE_0664.fp2.repr.20.10-RAW.bam,6584048
COPE_0665.fp2.repr.20.10-RAW.bam,3610711
COPE_0666.fp2.repr.20.10-RAW.bam,178035
COPE_0667.fp2.repr.20.10-RAW.bam,7461978
COPE_0668.fp2.repr.20.10-RAW.bam,1153838
COPE_0669.fp2.repr.20.10-RAW.bam,698380
COPE_0670.fp2.repr.20.10-RAW.bam,343395
COPE_0671.fp2.repr.20.10-RAW.bam,2523203
COPE_0672.fp2.repr.20.10-RAW.bam,1078549
COPE_0673.fp2.repr.20.10-RAW.bam,3378226
COPE_0674.fp2.repr.20.10-RAW.bam,9701692
COPE_0675.fp2.repr.20.10-RAW.bam,21269814
COPE_0676.fp2.repr.20.10-RAW.bam,4573915
COPE_0677.fp2.repr.20.10-RAW.bam,14316401
COPE_0678.fp2.repr.20.10-RAW.bam,2074847
COPE_0679.fp2.repr.20.10-RAW.bam,1727416
COPE_0680.fp2.repr.20.10-RAW.bam,4703098
COPE_0681.fp2.repr.20.10-RAW.bam,1748779
COPE_0682.fp2.repr.20.10-RAW.bam,10114616
COPE_0683.fp2.repr.20.10-RAW.bam,8344847
COPE_0684.fp2.repr.20.10-RAW.bam,3534572
COPE_0685.fp2.repr.20.10-RAW.bam,2323257
COPE_0686.fp2.repr.20.10-RAW.bam,1750573
COPE_0687.fp2.repr.20.10-RAW.bam,724278
COPE_0688.fp2.repr.20.10-RAW.bam,4789052
COPE_0690.fp2.repr.20.10-RAW.bam,3662573
COPE_0692.fp2.repr.20.10-RAW.bam,2750417
COPE_0693.fp2.repr.20.10-RAW.bam,3405902
COPE_0694.fp2.repr.20.10-RAW.bam,6188173
COPE_0695.fp2.repr.20.10-RAW.bam,8299398
COPE_0696.fp2.repr.20.10-RAW.bam,7939248
COPE_0697.fp2.repr.20.10-RAW.bam,3551320
COPE_0698.fp2.repr.20.10-RAW.bam,426862
COPE_0699.fp2.repr.20.10-RAW.bam,29475042
COPE_0700.fp2.repr.20.10-RAW.bam,6942415
COPE_0701.fp2.repr.20.10-RAW.bam,1000595
COPE_0702.fp2.repr.20.10-RAW.bam,9295154
COPE_0703.fp2.repr.20.10-RAW.bam,3027643
COPE_0704.fp2.repr.20.10-RAW.bam,1319457
COPE_0705.fp2.repr.20.10-RAW.bam,20952270
COPE_0706.fp2.repr.20.10-RAW.bam,3595011
COPE_0707.fp2.repr.20.10-RAW.bam,447053
COPE_0708.fp2.repr.20.10-RAW.bam,12135002
COPE_0709.fp2.repr.20.10-RAW.bam,11523603
COPE_0710.fp2.repr.20.10-RAW.bam,53980
COPE_0711.fp2.repr.20.10-RAW.bam,6087403
COPE_0712.fp2.repr.20.10-RAW.bam,5887083
COPE_0713.fp2.repr.20.10-RAW.bam,5650604
COPE_0715.fp2.repr.20.10-RAW.bam,598746
COPE_0716.fp2.repr.20.10-RAW.bam,8177923
COPE_0717.fp2.repr.20.10-RAW.bam,5517553
COPE_0718.fp2.repr.20.10-RAW.bam,6708023
COPE_0719.fp2.repr.20.10-RAW.bam,4198404
COPE_0720.fp2.repr.20.10-RAW.bam,1632697
COPE_0721.fp2.repr.20.10-RAW.bam,4606881
COPE_0722.fp2.repr.20.10-RAW.bam,6132024
COPE_0723.fp2.repr.20.10-RAW.bam,5982582
COPE_0724.fp2.repr.20.10-RAW.bam,435005
COPE_0725.fp2.repr.20.10-RAW.bam,8130180
COPE_0726.fp2.repr.20.10-RAW.bam,9398020
COPE_0727.fp2.repr.20.10-RAW.bam,916484
COPE_0728.fp2.repr.20.10-RAW.bam,987416
COPE_0729.fp2.repr.20.10-RAW.bam,4004420
COPE_0730.fp2.repr.20.10-RAW.bam,2832360
COPE_0731.fp2.repr.20.10-RAW.bam,2482470
COPE_0732.fp2.repr.20.10-RAW.bam,4309643
COPE_0734.fp2.repr.20.10-RAW.bam,8710150
COPE_0735.fp2.repr.20.10-RAW.bam,21387253
COPE_0736.fp2.repr.20.10-RAW.bam,265082
COPE_0737.fp2.repr.20.10-RAW.bam,3021525
COPE_0738.fp2.repr.20.10-RAW.bam,6235916
COPE_0739.fp2.repr.20.10-RAW.bam,6491085
COPE_0740.fp2.repr.20.10-RAW.bam,677991
COPE_0741.fp2.repr.20.10-RAW.bam,4485320
COPE_0742.fp2.repr.20.10-RAW.bam,3029103
COPE_0743.fp2.repr.20.10-RAW.bam,2320941
COPE_0744.fp2.repr.20.10-RAW.bam,17831449
COPE_0745.fp2.repr.20.10-RAW.bam,317541
COPE_0746.fp2.repr.20.10-RAW.bam,7241505
COPE_0747.fp2.repr.20.10-RAW.bam,417790
COPE_0748.fp2.repr.20.10-RAW.bam,10324893
COPE_0749.fp2.repr.20.10-RAW.bam,12725665
COPE_0750.fp2.repr.20.10-RAW.bam,3512819
COPE_0751.fp2.repr.20.10-RAW.bam,1616520
COPE_0752.fp2.repr.20.10-RAW.bam,6158456
COPE_0753.fp2.repr.20.10-RAW.bam,6377997
COPE_0754.fp2.repr.20.10-RAW.bam,9904685
COPE_0755.fp2.repr.20.10-RAW.bam,16595600
COPE_0756.fp2.repr.20.10-RAW.bam,5975279
COPE_0757.fp2.repr.20.10-RAW.bam,3309655
COPE_0758.fp2.repr.20.10-RAW.bam,10196831
COPE_0759.fp2.repr.20.10-RAW.bam,5283619
COPE_0760.fp2.repr.20.10-RAW.bam,1088263
COPE_0761.fp2.repr.20.10-RAW.bam,481159
COPE_0762.fp2.repr.20.10-RAW.bam,4482623
COPE_0763.fp2.repr.20.10-RAW.bam,11770685
COPE_0764.fp2.repr.20.10-RAW.bam,783992
COPE_0765.fp2.repr.20.10-RAW.bam,11891940
COPE_0766.fp2.repr.20.10-RAW.bam,2916925
COPE_0767.fp2.repr.20.10-RAW.bam,5129631
COPE_0768.fp2.repr.20.10-RAW.bam,5968106
COPE_0769.fp2.repr.20.10-RAW.bam,3814673
COPE_0770.fp2.repr.20.10-RAW.bam,5462707
COPE_0771.fp2.repr.20.10-RAW.bam,4445322
COPE_0772.fp2.repr.20.10-RAW.bam,14285232
COPE_0773.fp2.repr.20.10-RAW.bam,4992402
COPE_0774.fp2.repr.20.10-RAW.bam,311243
COPE_0775.fp2.repr.20.10-RAW.bam,3058787
COPE_0776.fp2.repr.20.10-RAW.bam,1429031
COPE_0777.fp2.repr.20.10-RAW.bam,25320
COPE_0778.fp2.repr.20.10-RAW.bam,4042967
COPE_0779.fp2.repr.20.10-RAW.bam,40370
COPE_0780.fp2.repr.20.10-RAW.bam,756140
COPE_0781.fp2.repr.20.10-RAW.bam,573704
COPE_0782.fp2.repr.20.10-RAW.bam,22090955
COPE_0783.fp2.repr.20.10-RAW.bam,603376
COPE_0784.fp2.repr.20.10-RAW.bam,2782956
COPE_0785.fp2.repr.20.10-RAW.bam,9643133
COPE_0786.fp2.repr.20.10-RAW.bam,959080
COPE_0787.fp2.repr.20.10-RAW.bam,647520
COPE_0788.fp2.repr.20.10-RAW.bam,24318121
COPE_0789.fp2.repr.20.10-RAW.bam,6517399
COPE_0790.fp2.repr.20.10-RAW.bam,4543388
COPE_0791.fp2.repr.20.10-RAW.bam,11992045
COPE_0792.fp2.repr.20.10-RAW.bam,293348
