Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
Blank-1	53.31125827814569	13.086668586236684	8.076590843651022	5.614742297725309	3.8007486323063633	2.6202130722718113	1.7708033400518284	1.5116613878491219	1.0653613590555715	0.7918226317304924	0.5614742297725309	0.3023322775698244	0.2591419522027066	0.33112582781456956	0.2591419522027066	0.17276130146847107	0.20155485171321624	0.1295709761013533	0.2303484019579614	0.18715807659084366	0.18715807659084366	0.15836452634609846	0.1151742009789807	0.1295709761013533	0.10077742585660812	0.14396775122372588	0.18715807659084366	0.1151742009789807	0.028793550244745177	0.1151742009789807	4.434206737690757
Blank-2	57.062917974614436	10.604613074928347	4.65401938037396	2.197352258768937	1.4740002729630135	1.0645557526955098	0.7097038351303399	0.7915927391838405	0.7642964378326736	0.7370001364815068	0.4094445202675038	0.5186297256721715	0.5595741776989218	0.655111232428006	0.5049815749965879	0.5732223283745053	0.39579636959192027	0.4094445202675038	0.7233519858059233	0.47768527364542107	0.47768527364542107	0.327555616214003	0.4094445202675038	0.3685000682407534	0.3548519175651699	0.327555616214003	0.4094445202675038	0.3821482189163368	0.3412037668895865	0.3139074655384196	11.000409444520267
COPE-0469	50.918072513747795	16.422779382980707	7.633516637151645	4.352688973809301	2.572467145120701	2.0225556901854786	1.6776959642091527	1.5472085003262188	1.3048746388293408	1.0532202441979681	0.9693354459875104	0.8761301146425575	0.6617578525491657	0.6151551868766894	0.5778730543387082	0.41010345791779285	0.63379625314568	0.39146239164880237	0.4287445241867835	0.2796159940348588	0.22369279522788704	0.2796159940348588	0.2609749277658682	0.2796159940348588	0.1770901295554106	0.22369279522788704	0.2330133283623823	0.29825706030384935	0.19573119582440118	0.16776959642091527	2.3114922173548327
COPE-0470	59.95413623237642	14.319687446916934	6.183115338882283	3.456769152369628	2.012909801257007	1.3759130287073211	1.1890606420927468	0.874808900968235	0.696449804654323	0.7219296755563105	0.5180907083404112	0.4246645150331238	0.37370477322914897	0.4161712247324614	0.3397316120264991	0.32274503142517413	0.3482249023271615	0.2208255478172244	0.22931883811788686	0.20383896721589945	0.23781212841854932	0.11890606420927466	0.15287922541192459	0.18685238661457448	0.11890606420927466	0.15287922541192459	0.20383896721589945	0.08493290300662477	0.2123322575165619	0.16137251571258707	4.1871921182266005
COPE-0471	49.192855916194404	12.854198866563626	6.706165206938004	3.6750815730722994	3.091190108191654	2.3355658595225828	1.751674394641937	1.4425553838227718	1.2450626824660829	1.3395157135497167	0.9187703932680749	0.8672505581315474	0.9273570324574961	0.6525845783960158	0.7298643311008072	0.429331959471063	0.5495449081229606	0.43791859866048427	0.429331959471063	0.4722651554181693	0.38639876352395675	0.43791859866048427	0.3692254851451142	0.3005323716297441	0.29194573244032285	0.3005323716297441	0.24901253649321653	0.2747724540614803	0.2146659797355315	0.26618581487205906	6.8607247123475865
COPE-0472	37.56504770164788	17.075021682567215	10.938855160450997	6.493928881179532	5.127927146574154	3.7836079791847355	2.7862098872506507	2.168256721595837	1.767129228100607	1.3985255854293148	1.2792714657415438	0.8130962705984389	0.7588898525585429	0.704683434518647	0.7372072853425846	0.5203816131830009	0.411968777103209	0.3360797918473547	0.3360797918473547	0.31439722463139635	0.2059843885516045	0.24934952298352125	0.16261925411968778	0.2059843885516045	0.08673026886383348	0.10841283607979184	0.21682567215958368	0.19514310494362533	0.08673026886383348	0.17346053772766695	2.9921942758022553
COPE-0473	40.49748462828396	17.216321967579653	9.604993478665921	5.934414011552078	4.313396683435811	3.316564188559717	1.9936649897521894	1.8725544997205141	1.5278554127072852	1.2763182411030372	1.2204210918576486	1.0620458356623812	0.9223029625489101	0.8477734302217254	0.7080305571082541	0.5217067262902926	0.5682876839947829	0.4937581516675983	0.5496553009129868	0.40059623625861746	0.3819638531768213	0.2981181293087386	0.2794857462269424	0.3726476616359232	0.2794857462269424	0.17700763927706353	0.1397428731134712	0.15837525619526738	0.12111049003167505	0.22358859698155395	2.72032792994224
COPE-0474	53.963026719556915	11.391362921936981	5.89027767382681	4.243694334256418	3.2781977396901434	2.4324526607289876	2.043260235012349	1.90105531023127	1.4370181872614325	1.0553102312701144	0.8981363670383954	0.9654965945662749	0.8083227303345557	0.5688196991243171	0.6960556844547563	0.5089439413217574	0.583788638574957	0.5388818202230372	0.4116458348925978	0.4191303046179178	0.381707955991318	0.17962727340767906	0.33680113763939823	0.20208068258363893	0.194596212858319	0.2095651523089589	0.0972981064291595	0.194596212858319	0.18711174313299903	0.17962727340767906	3.80211062046254
COPE-0475	51.724137931034484	11.452140309155768	6.814803804994055	4.1319857312722945	3.0618311533888227	2.68281807372176	2.058561236623068	1.8504756242568372	1.4343043995243756	1.0107015457788349	0.9066587395957193	0.8992271105826397	0.8843638525564804	0.6614149821640903	0.735731272294887	0.6168252080856124	0.6019619500594531	0.5053507728894174	0.44589774078478	0.40130796670630203	0.45332936979785965	0.37158145065398335	0.2972651605231867	0.289833531510107	0.3641498216409037	0.28240190249702735	0.22294887039239	0.23781212841854932	0.15606420927467302	0.178359096313912	4.265755053507729
COPE-0476	56.69699872286079	15.39750957854406	7.120051085568327	4.1028097062579825	2.849616858237548	2.346743295019157	1.6602809706257982	1.2292464878671776	1.0456577266922094	0.7982120051085568	0.590676883780332	0.5667305236270754	0.4549808429118774	0.407088122605364	0.3113026819923371	0.31928480204342274	0.295338441890166	0.1995530012771392	0.20753512132822477	0.23946360153256704	0.15166028097062578	0.1756066411238825	0.18358876117496806	0.13569604086845466	0.09578544061302681	0.06385696040868455	0.11973180076628352	0.05587484035759897	0.1277139208173691	0.11174968071519795	1.9396551724137931
COPE-0477	49.97730367680436	15.097594189741262	6.899682251475261	3.876532001815706	2.6509305492510213	2.133454380390377	1.507035860190649	1.4344076259645937	1.162051747616886	0.9532455742169769	0.8806173399909214	0.9078529278256923	0.6718111665910123	0.5174761688606446	0.6082614616432138	0.6082614616432138	0.46300499319110305	0.5628688152519292	0.49931911030413073	0.5174761688606446	0.35406264185201997	0.21788470267816612	0.4266908760780753	0.3631411711302769	0.2723558783477077	0.23604176123467996	0.34498411257376305	0.3631411711302769	0.2723558783477077	0.2451202905129369	4.975034044484794
COPE-0478	53.58763966480446	16.000349162011172	7.210195530726257	3.9891759776536313	2.653631284916201	2.077513966480447	1.3791899441340782	1.274441340782123	0.9951117318435754	0.759427374301676	0.7943435754189944	0.7070530726256984	0.602304469273743	0.4713687150837989	0.31424581005586594	0.4539106145251397	0.515013966480447	0.31424581005586594	0.200768156424581	0.22695530726256985	0.3055167597765363	0.2967877094972067	0.16585195530726257	0.357891061452514	0.25314245810055863	0.2880586592178771	0.21822625698324022	0.18331005586592178	0.17458100558659218	0.10474860335195531	3.125
COPE-0479	57.1554071861548	15.127822190986558	6.5799877009575685	3.3207414565580256	2.231397698322059	1.3792497584116665	1.0014934551524202	0.9927084248440657	0.6325221822015287	0.6500922428182376	0.544671879117983	0.5095317578845647	0.5271018185012738	0.43925151541772817	0.44803654572608276	0.35140121233418253	0.3338311517174734	0.25476587894228236	0.18448563647544583	0.2899060001757006	0.21962575770886408	0.30747606079240974	0.24598084863392777	0.2371958183255732	0.20205569709215496	0.13177545462531845	0.20205569709215496	0.10542036370025476	0.1669155758587367	0.15813054555038217	5.068962487920584
COPE-0480	48.482824427480914	18.81679389312977	9.723282442748092	5.734732824427481	3.2729007633587783	2.404580152671756	1.7461832061068703	1.450381679389313	1.0877862595419847	0.7919847328244275	0.7442748091603053	0.7156488549618321	0.6870229007633588	0.5057251908396947	0.3530534351145038	0.4389312977099237	0.2862595419847328	0.25763358778625955	0.20038167938931298	0.16221374045801526	0.1431297709923664	0.22900763358778628	0.21946564885496184	0.12404580152671756	0.13358778625954199	0.12404580152671756	0.06679389312977099	0.08587786259541985	0.09541984732824427	0.05725190839694657	0.8587786259541985
COPE-0481	50.522113022113025	13.96652334152334	8.16953316953317	5.681818181818182	3.7699631449631448	2.9484029484029484	1.8888206388206388	1.4588452088452089	1.1286855036855037	0.8292383292383292	0.6987100737100737	0.5912162162162162	0.5067567567567568	0.45300982800982803	0.43765356265356264	0.4146191646191646	0.2764127764127764	0.2917690417690417	0.2533783783783784	0.2457002457002457	0.2073095823095823	0.1382063882063882	0.18427518427518427	0.19195331695331697	0.16124078624078622	0.13052825552825553	0.11517199017199017	0.15356265356265356	0.13052825552825553	0.14588452088452086	3.908169533169533
