999901_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
2	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
3	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
4	0.00000	0.99391	0.00000	0.00003	0.00000	0.00606
5	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
6	0.00000	0.99959	0.00000	0.00000	0.00000	0.00041
7	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
8	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
9	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
10	0.00000	0.00000	0.00000	0.00178	0.99822	0.00000
11	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
12	0.00000	0.62087	0.00000	0.00526	0.00000	0.37388
13	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
14	0.00000	0.99988	0.00000	0.00000	0.00000	0.00012
15	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
16	0.00000	0.99737	0.00000	0.00000	0.00000	0.00262
17	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
18	0.95930	0.00000	0.00000	0.00161	0.03909	0.00000
19	0.00000	0.96480	0.00000	0.00133	0.00000	0.03387
20	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
21	0.00095	0.00000	0.00000	0.95661	0.04243	0.00001
22	0.00000	0.98781	0.00000	0.00007	0.00000	0.01212
23	0.99885	0.00000	0.00000	0.00000	0.00115	0.00000
24	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
25	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
26	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
27	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
28	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
29	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
30	0.99906	0.00000	0.00000	0.00000	0.00094	0.00000
31	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
32	0.00000	0.99796	0.00000	0.00000	0.00000	0.00203
33	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
34	0.48855	0.00006	0.00506	0.19482	0.30831	0.00320
35	0.00000	0.89666	0.00000	0.00894	0.00000	0.09439
36	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
37	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
38	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
39	0.00000	0.99989	0.00000	0.00000	0.00000	0.00011
40	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
41	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
42	0.00000	0.99979	0.00000	0.00000	0.00000	0.00021
43	0.99966	0.00000	0.00000	0.00000	0.00034	0.00000
44	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
45	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
46	0.00000	0.99505	0.00000	0.00000	0.00000	0.00495
47	0.00000	0.99913	0.00000	0.00000	0.00000	0.00087
48	0.99973	0.00000	0.00000	0.00000	0.00027	0.00000
49	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
50	0.00000	0.98224	0.00000	0.00031	0.00000	0.01745
51	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
52	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
53	0.08693	0.00000	0.00000	0.02292	0.89015	0.00000
54	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
55	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
56	0.67962	0.00000	0.00000	0.06376	0.25661	0.00000
57	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
58	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
59	0.00000	0.99990	0.00000	0.00000	0.00000	0.00010
60	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
61	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
62	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
63	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
64	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
65	0.00000	0.99990	0.00000	0.00000	0.00000	0.00010
66	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
67	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
68	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
69	0.00000	0.83046	0.00007	0.02190	0.00001	0.14756
70	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
71	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
72	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
73	0.00000	0.99876	0.00000	0.00000	0.00000	0.00123
74	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
75	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
76	0.00000	0.99938	0.00000	0.00000	0.00000	0.00062
77	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
78	0.99789	0.00000	0.00000	0.00000	0.00210	0.00000
79	0.99984	0.00000	0.00000	0.00000	0.00016	0.00000
80	0.00000	0.00000	0.00000	0.99963	0.00000	0.00037
81	0.00000	0.98548	0.00000	0.00001	0.00000	0.01451
82	0.55437	0.00018	0.00984	0.14613	0.28441	0.00506
83	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
84	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
85	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
86	0.99987	0.00000	0.00000	0.00000	0.00013	0.00000
87	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
88	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
89	0.00000	0.79055	0.00000	0.00001	0.00000	0.20944
90	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
91	0.99635	0.00000	0.00000	0.00001	0.00364	0.00000
92	0.00000	0.00000	0.00001	0.00389	0.00000	0.99610
93	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
94	0.99742	0.00000	0.00000	0.00001	0.00257	0.00000
95	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
96	0.00000	0.93871	0.00000	0.00000	0.00000	0.06128
97	0.99854	0.00000	0.00000	0.00000	0.00145	0.00000
98	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
99	0.00157	0.50161	0.02667	0.16615	0.01543	0.28858
100	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
101	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
102	0.00000	0.99986	0.00000	0.00000	0.00000	0.00014
103	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
104	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
105	0.00000	0.96800	0.00000	0.00104	0.00000	0.03095
106	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
107	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
108	0.99990	0.00000	0.00000	0.00000	0.00010	0.00000
109	0.00000	0.99974	0.00000	0.00000	0.00000	0.00026
110	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
111	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
112	0.99396	0.00000	0.00000	0.00000	0.00604	0.00000
113	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
114	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
115	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
116	0.35425	0.00000	0.00000	0.00022	0.64552	0.00000
117	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
118	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
119	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
120	0.00000	0.99960	0.00000	0.00000	0.00000	0.00040
121	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
122	0.00000	0.99988	0.00000	0.00000	0.00000	0.00012
123	0.05742	0.14869	0.21109	0.21277	0.17525	0.19477
124	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
125	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
126	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
127	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
128	0.00000	0.99963	0.00000	0.00000	0.00000	0.00037
129	0.00000	0.99777	0.00000	0.00000	0.00000	0.00223
130	0.00000	0.99977	0.00000	0.00000	0.00000	0.00023
131	0.99237	0.00000	0.00000	0.00000	0.00763	0.00000
132	0.00000	0.99981	0.00000	0.00000	0.00000	0.00019
133	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
134	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
135	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
136	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
137	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
138	0.99952	0.00000	0.00000	0.00000	0.00048	0.00000
139	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
140	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
141	0.97727	0.00000	0.00000	0.00056	0.02217	0.00000
142	0.99992	0.00000	0.00000	0.00000	0.00008	0.00000
143	0.00000	0.99957	0.00000	0.00000	0.00000	0.00043
144	0.99517	0.00000	0.00000	0.00000	0.00483	0.00000
145	0.99820	0.00000	0.00000	0.00000	0.00180	0.00000
146	0.99992	0.00000	0.00000	0.00000	0.00008	0.00000
147	0.99982	0.00000	0.00000	0.00000	0.00018	0.00000
148	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
149	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
150	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
151	0.00000	0.99256	0.00000	0.00002	0.00000	0.00741
152	0.38462	0.03270	0.11058	0.15640	0.24447	0.07123
153	0.00000	0.99976	0.00000	0.00000	0.00000	0.00024
154	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
155	0.00000	0.99965	0.00000	0.00000	0.00000	0.00035
156	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
157	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
158	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
159	0.00000	0.99964	0.00000	0.00000	0.00000	0.00036
160	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
161	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
162	0.99937	0.00000	0.00000	0.00000	0.00063	0.00000
163	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
164	0.00000	0.99984	0.00000	0.00000	0.00000	0.00016
165	0.00000	0.93949	0.00000	0.00361	0.00000	0.05690
166	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
167	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
168	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
169	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
170	0.00000	0.96121	0.00000	0.00008	0.00000	0.03871
171	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
172	0.00000	0.90540	0.00000	0.00000	0.00000	0.09460
173	0.99925	0.00000	0.00000	0.00000	0.00075	0.00000
174	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
175	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
176	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
177	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
178	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
179	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
180	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
181	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
182	0.99988	0.00000	0.00000	0.00000	0.00012	0.00000
183	0.00000	0.99955	0.00000	0.00000	0.00000	0.00045
184	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
185	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
186	0.99736	0.00000	0.00000	0.00000	0.00264	0.00000
187	0.00000	0.99629	0.00000	0.00000	0.00000	0.00371
188	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
189	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
