Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0531.fp2.repr,z1,0,0.9999759000024099,0,9.9999990000001e-8,0,2.399999760000024e-5
COPE_0532.fp2.repr,z1,0,0.9999835,0,0,0,1.65e-5
COPE_0534.fp2.repr,z1,0,0.9999986,0,0,0,1.4000000000000001e-6
COPE_0535.fp2.repr,NA,0,0.9997855999785601,0,0,0,2.1440002144000215e-4
COPE_0536.fp2.repr,NA,0,0.999663,0,4.1e-6,0,3.3289999999999996e-4
COPE_0537.fp2.repr,NA,0.9997589000241099,0,0,9.9999990000001e-8,2.409999759000024e-4,0
COPE_0538.fp2.repr,z1,0,0.99999509999951,0,0,0,4.9000004900000495e-6
COPE_0539.fp2.repr,NA,0,0.9998136,0,5e-7,0,1.859e-4
COPE_0540.fp2.repr,z1,0.017752198224780177,0.9772647022735298,4.4579995542000443e-4,6.912999308700068e-4,4.907999509200048e-4,0.003355199664480033
COPE_0541.fp2.repr,NA,0,0.9995523000000001,0,3.9e-6,0,4.438e-4
COPE_0542.fp2.repr,NA,0,0.9999555,0,0,0,4.45e-5
COPE_0543.fp2.repr,z1,0,0.9999992,0,0,0,8.000000000000001e-7
COPE_0544.fp2.repr,z1,0,0.9999042000095799,0,2.2999997700000227e-6,0,9.349999065000092e-5
COPE_0545.fp2.repr,z1,0,0.9999987,0,0,0,1.3e-6
COPE_0546.fp2.repr,z1,0,0.99998339999834,0,0,0,1.6600001660000164e-5
COPE_0547.fp2.repr,z1,0,0.9999652,0,0,0,3.48e-5
COPE_0548.fp2.repr,z0,0.9999848,0,0,1.0000000000000001e-7,1.51e-5,0
COPE_0549.fp2.repr,z0,0.99995509999551,0,0,1.00000010000001e-7,4.480000448000044e-5,0
COPE_0550.fp2.repr,NA,0.9990434995217498,0,0,4.700002350001175e-6,9.51800475900238e-4,0
COPE_0551.fp2.repr,NA,1.9640005892001769e-4,0.8013739404121821,2.200000660000198e-6,0.14827214448164333,1.0850003255000976e-4,0.05004681501404451
COPE_0552.fp2.repr,NA,0,0.99979389997939,0,1.0000001000000101e-7,0,2.0600002060000208e-4
COPE_0553.fp2.repr,z0,0.7641042820521411,0.22090881045440522,0.001272400636200318,0.004008502004251002,0.007354103677051838,0.002351901175950588
COPE_0554.fp2.repr,z0,0.99998719999744,0,0,0,1.2800002560000512e-5,0
COPE_0555.fp2.repr,z1,0,0.99986479998648,0,2.100000210000021e-6,0,1.3310001331000133e-4
COPE_0556.fp2.repr,z0,0.9999974,0,0,0,2.6e-6,0
