Sample	Protists_1k	Human	Bacteria_24k	Bird	Fungi_RefSeq_release	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
COPE-0610.fp2_r1_screen	4653.0	553.0	161.0	215.0	344.0	237.0	147.0	2.0	0.0	17379.0	2129963.0
COPE-0610.fp2_r2_screen	6050.0	1452.0	454.0	1287.0	459.0	95.0	20.0	4.0	0.0	14085.0	2129748.0
COPE-0611.fp2_r1_screen	11996.0	1319.0	420.0	517.0	780.0	395.0	205.0	13.0	0.0	31566.0	5317661.0
COPE-0611.fp2_r2_screen	14498.0	4359.0	747.0	1892.0	692.0	389.0	34.0	2.0	0.0	28890.0	5313369.0
COPE-0612.fp2_r1_screen	4180.0	552.0	104.0	252.0	201.0	216.0	54.0	1.0	10.0	9975.0	1638090.0
COPE-0612.fp2_r2_screen	4243.0	1519.0	380.0	753.0	389.0	125.0	23.0	20.0	1.0	12391.0	1633791.0
COPE-0613.fp2_r1_screen	8914.0	1261.0	246.0	205.0	273.0	413.0	135.0	6.0	0.0	20739.0	3846295.0
COPE-0613.fp2_r2_screen	8234.0	3619.0	754.0	934.0	796.0	132.0	149.0	19.0	0.0	16004.0	3847846.0
COPE-0614.fp2_r1_screen	6346.0	1188.0	882.0	609.0	598.0	30.0	28.0	23.0	0.0	34664.0	4482933.0
COPE-0614.fp2_r2_screen	11210.0	13795.0	775.0	3307.0	923.0	522.0	257.0	19.0	0.0	71057.0	4425436.0
COPE-0615.fp2_r1_screen	2522.0	575.0	138.0	50.0	274.0	157.0	55.0	3.0	0.0	10614.0	1342902.0
COPE-0615.fp2_r2_screen	3510.0	1382.0	204.0	1141.0	384.0	67.0	19.0	7.0	0.0	17175.0	1333401.0
COPE-0616.fp2_r1_screen	7227.0	686.0	378.0	158.0	456.0	196.0	169.0	5.0	0.0	27138.0	4101348.0
COPE-0616.fp2_r2_screen	11085.0	3476.0	417.0	1401.0	1409.0	222.0	72.0	5.0	0.0	16257.0	4103417.0
COPE-0617.fp2_r1_screen	1587.0	285.0	247.0	46.0	105.0	9.0	11.0	15.0	0.0	9329.0	1027092.0
COPE-0617.fp2_r2_screen	2264.0	1750.0	313.0	783.0	358.0	44.0	32.0	1.0	0.0	21462.0	1011719.0
COPE-0618.fp2_r1_screen	15185.0	1910.0	119.0	299.0	831.0	542.0	503.0	32.0	5.0	22648.0	4251098.0
COPE-0618.fp2_r2_screen	11816.0	3383.0	478.0	398.0	1664.0	169.0	185.0	163.0	1.0	16089.0	4258826.0
COPE-0619.fp2_r1_screen	1739.0	357.0	84.0	190.0	130.0	42.0	34.0	0.0	0.0	5985.0	847520.0
COPE-0619.fp2_r2_screen	2173.0	926.0	585.0	505.0	143.0	14.0	39.0	0.0	0.0	16761.0	834935.0
