file,mapped_reads
COPE_0592.fp2.repr.10.1-RG.bam,1449957
COPE_0593.fp2.repr.10.1-RG.bam,479034
COPE_0594.fp2.repr.10.1-RG.bam,1192901
COPE_0595.fp2.repr.10.1-RG.bam,5314550
COPE_0596.fp2.repr.10.1-RG.bam,1326156
COPE_0597.fp2.repr.10.1-RG.bam,3296682
COPE_0598.fp2.repr.10.1-RG.bam,23401
COPE_0599.fp2.repr.10.1-RG.bam,77514
COPE_0600.fp2.repr.10.1-RG.bam,682075
COPE_0601.fp2.repr.10.1-RG.bam,1546067
COPE_0602.fp2.repr.10.1-RG.bam,2502198
COPE_0603.fp2.repr.10.1-RG.bam,121390
COPE_0604.fp2.repr.10.1-RG.bam,54761
COPE_0605.fp2.repr.10.1-RG.bam,143668
COPE_0606.fp2.repr.10.1-RG.bam,95803
COPE_0607.fp2.repr.10.1-RG.bam,5637730
COPE_0608.fp2.repr.10.1-RG.bam,1015159
COPE_0610.fp2.repr.10.1-RG.bam,1827967
COPE_0611.fp2.repr.10.1-RG.bam,6013565
COPE_0612.fp2.repr.10.1-RG.bam,1713181
COPE_0613.fp2.repr.10.1-RG.bam,4240823
COPE_0614.fp2.repr.10.1-RG.bam,1882186
COPE_0615.fp2.repr.10.1-RG.bam,588665
COPE_0616.fp2.repr.10.1-RG.bam,3574742
COPE_0617.fp2.repr.10.1-RG.bam,255796
COPE_0618.fp2.repr.10.1-RG.bam,3305394
COPE_0619.fp2.repr.10.1-RG.bam,403895
COPE_0620.fp2.repr.10.1-RG.bam,906900
COPE_0621.fp2.repr.10.1-RG.bam,1064563
COPE_0622.fp2.repr.10.1-RG.bam,104880
COPE_0623.fp2.repr.10.1-RG.bam,644484
COPE_0624.fp2.repr.10.1-RG.bam,1321703
COPE_0625.fp2.repr.10.1-RG.bam,55730
COPE_0626.fp2.repr.10.1-RG.bam,333258
COPE_0627.fp2.repr.10.1-RG.bam,178460
COPE_0628.fp2.repr.10.1-RG.bam,3083
COPE_0629.fp2.repr.10.1-RG.bam,198473
COPE_0630.fp2.repr.10.1-RG.bam,2107039
COPE_0631.fp2.repr.10.1-RG.bam,1911988
COPE_0632.fp2.repr.10.1-RG.bam,241255
COPE_0633.fp2.repr.10.1-RG.bam,4275781
COPE_0634.fp2.repr.10.1-RG.bam,3678773
COPE_0635.fp2.repr.10.1-RG.bam,132761
COPE_0636.fp2.repr.10.1-RG.bam,1247289
COPE_0637.fp2.repr.10.1-RG.bam,4182627
COPE_0638.fp2.repr.10.1-RG.bam,1849115
COPE_0639.fp2.repr.10.1-RG.bam,4673781
COPE_0640.fp2.repr.10.1-RG.bam,1036601
COPE_0641.fp2.repr.10.1-RG.bam,11234
COPE_0642.fp2.repr.10.1-RG.bam,670181
COPE_0643.fp2.repr.10.1-RG.bam,549178
COPE_0644.fp2.repr.10.1-RG.bam,450310
COPE_0645.fp2.repr.10.1-RG.bam,5420979
COPE_0646.fp2.repr.10.1-RG.bam,58367
COPE_0647.fp2.repr.10.1-RG.bam,2139625
COPE_0648.fp2.repr.10.1-RG.bam,121901
COPE_0649.fp2.repr.10.1-RG.bam,3247796
COPE_0650.fp2.repr.10.1-RG.bam,3959147
