file,sample,number_reads
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0503.fp2.repr.r1.fq.gz,COPE_0503,790569
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0504.fp2.repr.r1.fq.gz,COPE_0504,2269589
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0505.fp2.repr.r1.fq.gz,COPE_0505,2299142
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0506.fp2.repr.r1.fq.gz,COPE_0506,862951
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0507.fp2.repr.r1.fq.gz,COPE_0507,2607975
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0508.fp2.repr.r1.fq.gz,COPE_0508,5110883
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0509.fp2.repr.r1.fq.gz,COPE_0509,491829
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0510.fp2.repr.r1.fq.gz,COPE_0510,3129718
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0511.fp2.repr.r1.fq.gz,COPE_0511,1315549
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0512.fp2.repr.r1.fq.gz,COPE_0512,1696712
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0513.fp2.repr.r1.fq.gz,COPE_0513,734
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0514.fp2.repr.r1.fq.gz,COPE_0514,3213627
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0515.fp2.repr.r1.fq.gz,COPE_0515,1374470
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0516.fp2.repr.r1.fq.gz,COPE_0516,453
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0517.fp2.repr.r1.fq.gz,COPE_0517,3018642
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0518.fp2.repr.r1.fq.gz,COPE_0518,336234
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0519.fp2.repr.r1.fq.gz,COPE_0519,641588
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0520.fp2.repr.r1.fq.gz,COPE_0520,269201
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0521.fp2.repr.r1.fq.gz,COPE_0521,1092910
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0522.fp2.repr.r1.fq.gz,COPE_0522,2989359
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0523.fp2.repr.r1.fq.gz,COPE_0523,276413
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0524.fp2.repr.r1.fq.gz,COPE_0524,396016
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0525.fp2.repr.r1.fq.gz,COPE_0525,3346912
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0526.fp2.repr.r1.fq.gz,COPE_0526,828614
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0527.fp2.repr.r1.fq.gz,COPE_0527,348467
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0528.fp2.repr.r1.fq.gz,COPE_0528,2374499
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0529.fp2.repr.r1.fq.gz,COPE_0529,4180316
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0530.fp2.repr.r1.fq.gz,COPE_0530,2591835
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0531.fp2.repr.r1.fq.gz,COPE_0531,1708662
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0532.fp2.repr.r1.fq.gz,COPE_0532,624168
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0533.fp2.repr.r1.fq.gz,COPE_0533,202
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0534.fp2.repr.r1.fq.gz,COPE_0534,1897070
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0535.fp2.repr.r1.fq.gz,COPE_0535,1197764
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0536.fp2.repr.r1.fq.gz,COPE_0536,486739
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0537.fp2.repr.r1.fq.gz,COPE_0537,1206203
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0538.fp2.repr.r1.fq.gz,COPE_0538,1311023
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0539.fp2.repr.r1.fq.gz,COPE_0539,864638
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0540.fp2.repr.r1.fq.gz,COPE_0540,438293
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0541.fp2.repr.r1.fq.gz,COPE_0541,422314
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0542.fp2.repr.r1.fq.gz,COPE_0542,767587
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0543.fp2.repr.r1.fq.gz,COPE_0543,3074561
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0544.fp2.repr.r1.fq.gz,COPE_0544,541770
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0545.fp2.repr.r1.fq.gz,COPE_0545,571968
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0546.fp2.repr.r1.fq.gz,COPE_0546,1113679
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0547.fp2.repr.r1.fq.gz,COPE_0547,1104410
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0548.fp2.repr.r1.fq.gz,COPE_0548,353950
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0549.fp2.repr.r1.fq.gz,COPE_0549,184667
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0550.fp2.repr.r1.fq.gz,COPE_0550,554609
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0551.fp2.repr.r1.fq.gz,COPE_0551,1456246
