50701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
2	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
3	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
4	0.00000	0.96987	0.00000	0.00062	0.00000	0.02951
5	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
6	0.00000	0.99435	0.00000	0.00003	0.00000	0.00562
7	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
8	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
9	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
10	0.00000	0.00000	0.00000	0.00059	0.99941	0.00000
11	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
12	0.00000	0.99754	0.00000	0.00001	0.00000	0.00245
13	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
14	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
16	0.00000	0.99580	0.00000	0.00002	0.00000	0.00418
17	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
18	0.76102	0.00000	0.00001	0.04799	0.19098	0.00000
19	0.00000	0.98417	0.00000	0.00017	0.00000	0.01566
20	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
21	0.00000	0.00034	0.00001	0.98376	0.00065	0.01525
22	0.00000	0.99663	0.00000	0.00001	0.00000	0.00336
23	0.99852	0.00000	0.00000	0.00000	0.00148	0.00000
24	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
25	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
26	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
27	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
28	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
29	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
30	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
31	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
32	0.00000	0.98466	0.00000	0.00023	0.00000	0.01511
33	0.99981	0.00000	0.00000	0.00000	0.00019	0.00000
34	0.00000	0.88098	0.00001	0.01299	0.00000	0.10602
35	0.00000	0.91312	0.00000	0.00706	0.00000	0.07982
36	0.00000	0.39968	0.00000	0.00004	0.00000	0.60027
37	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
38	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
39	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
40	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
41	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
42	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
43	0.99914	0.00000	0.00000	0.00000	0.00086	0.00000
44	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
45	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
46	0.00000	0.99908	0.00000	0.00000	0.00000	0.00092
47	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
48	0.99990	0.00000	0.00000	0.00000	0.00010	0.00000
49	0.99992	0.00000	0.00000	0.00000	0.00008	0.00000
50	0.00000	0.98842	0.00000	0.00009	0.00000	0.01149
51	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
52	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
53	0.98058	0.00000	0.00000	0.00001	0.01941	0.00000
54	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
55	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
56	0.98212	0.00000	0.00000	0.00022	0.01766	0.00000
57	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
58	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
59	0.00000	0.99941	0.00000	0.00000	0.00000	0.00059
60	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
61	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
62	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
63	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
64	0.00000	0.85930	0.00000	0.00000	0.00000	0.14069
65	0.00000	0.92871	0.00000	0.00001	0.00000	0.07128
66	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
67	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
68	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
69	0.00000	0.75395	0.00070	0.04737	0.00014	0.19785
70	0.00000	0.99961	0.00000	0.00000	0.00000	0.00039
71	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
72	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
73	0.00000	0.99971	0.00000	0.00000	0.00000	0.00029
74	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
75	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
76	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
77	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
78	0.99991	0.00000	0.00000	0.00000	0.00009	0.00000
79	0.99832	0.00000	0.00000	0.00000	0.00168	0.00000
80	0.00000	0.25271	0.00000	0.00550	0.00000	0.74180
81	0.00000	0.98891	0.00000	0.00009	0.00000	0.01100
82	0.34170	0.04022	0.11683	0.17401	0.24372	0.08352
83	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
84	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
85	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
86	0.99943	0.00000	0.00000	0.00000	0.00057	0.00000
87	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
88	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
89	0.00000	0.99967	0.00000	0.00000	0.00000	0.00033
90	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
