999901_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.99988	0.00000	0.00000	0.00000	0.00012
2	0.00000	0.99916	0.00000	0.00000	0.00000	0.00084
3	0.00000	0.99989	0.00000	0.00000	0.00000	0.00011
4	0.00000	0.93530	0.00000	0.00395	0.00000	0.06074
5	0.00000	0.99980	0.00000	0.00000	0.00000	0.00020
6	0.00000	0.99600	0.00000	0.00001	0.00000	0.00400
7	0.00000	0.37578	0.00000	0.00082	0.00000	0.62339
8	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
9	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
10	0.00000	0.00000	0.03185	0.13861	0.82954	0.00000
11	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
12	0.00000	0.91472	0.00000	0.00304	0.00000	0.08224
13	0.00000	0.99990	0.00000	0.00000	0.00000	0.00010
14	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
16	0.00000	0.99318	0.00000	0.00006	0.00000	0.00676
17	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
18	0.96706	0.00000	0.00000	0.00098	0.03196	0.00000
19	0.00000	0.98026	0.00000	0.00037	0.00000	0.01937
20	0.99989	0.00000	0.00000	0.00000	0.00011	0.00000
21	0.00000	0.67476	0.00043	0.08517	0.00015	0.23949
22	0.00000	0.99958	0.00000	0.00000	0.00000	0.00042
23	0.99657	0.00000	0.00000	0.00000	0.00342	0.00000
24	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
25	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
26	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
27	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
28	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
29	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
30	0.99990	0.00000	0.00000	0.00000	0.00010	0.00000
31	0.99957	0.00000	0.00000	0.00000	0.00043	0.00000
32	0.00000	0.00970	0.00001	0.90948	0.00009	0.08072
