Sample	Passed Filter	Low Quality	Too Many N	Too short
COPE-0546.r1r2_fastp	2273082.0	0.0	0.0	44762.0
COPE-0547.r1r2_fastp	2287702.0	0.0	0.0	39028.0
COPE-0548.r1r2_fastp	726468.0	0.0	0.0	59056.0
COPE-0549.r1r2_fastp	379806.0	0.0	0.0	22176.0
COPE-0550.r1r2_fastp	1140676.0	0.0	0.0	20308.0
COPE-0551.r1r2_fastp	3117662.0	0.0	0.0	174820.0
COPE-0552.r1r2_fastp	1426048.0	0.0	0.0	59110.0
COPE-0553.r1r2_fastp	312118.0	0.0	0.0	19618.0
COPE-0554.r1r2_fastp	637764.0	0.0	0.0	52356.0
COPE-0555.r1r2_fastp	4067828.0	0.0	0.0	192408.0
COPE-0556.r1r2_fastp	9379134.0	0.0	0.0	438078.0
COPE-0557.r1r2_fastp	2761342.0	0.0	0.0	145418.0
COPE-0558.r1r2_fastp	1109224.0	0.0	0.0	44846.0
COPE-0559.r1r2_fastp	1920680.0	0.0	0.0	157898.0
COPE-0560.r1r2_fastp	8830602.0	0.0	0.0	137416.0
COPE-0561.r1r2_fastp	2960920.0	0.0	0.0	64630.0
COPE-0562.r1r2_fastp	39718.0	0.0	0.0	1942.0
COPE-0563.r1r2_fastp	2449626.0	0.0	0.0	101718.0
COPE-0564.r1r2_fastp	1544.0	0.0	0.0	44.0
COPE-0565.r1r2_fastp	21447484.0	0.0	0.0	462616.0
COPE-0566.r1r2_fastp	2816002.0	0.0	0.0	763692.0
COPE-0567.r1r2_fastp	3950120.0	0.0	0.0	67466.0
COPE-0568.r1r2_fastp	204496.0	0.0	0.0	3396.0
COPE-0569.r1r2_fastp	1148704.0	0.0	0.0	133324.0
COPE-0570.r1r2_fastp	11856296.0	0.0	0.0	155000.0
COPE-0571.r1r2_fastp	380430.0	0.0	0.0	7586.0
COPE-0572.r1r2_fastp	2399922.0	0.0	0.0	46056.0
COPE-0573.r1r2_fastp	1051074.0	0.0	0.0	55952.0
COPE-0574.r1r2_fastp	5130.0	0.0	0.0	108.0
COPE-0575.r1r2_fastp	4108078.0	0.0	0.0	73852.0
COPE-0576.r1r2_fastp	2459886.0	0.0	0.0	54060.0
COPE-0577.r1r2_fastp	1002006.0	0.0	0.0	46162.0
COPE-0578.r1r2_fastp	551556.0	0.0	0.0	10254.0
COPE-0579.r1r2_fastp	10599134.0	0.0	0.0	234324.0
COPE-0580.r1r2_fastp	602576.0	0.0	0.0	26066.0
COPE-0581.r1r2_fastp	2132.0	0.0	0.0	32.0
COPE-0582.r1r2_fastp	21072884.0	0.0	0.0	4867132.0
COPE-0583.r1r2_fastp	2083178.0	0.0	0.0	90612.0
COPE-0584.r1r2_fastp	21366936.0	0.0	0.0	377420.0
COPE-0585.r1r2_fastp	225696.0	0.0	0.0	9406.0
COPE-0586.r1r2_fastp	1715948.0	0.0	0.0	169830.0
COPE-0587.r1r2_fastp	4786428.0	0.0	0.0	1653798.0
COPE-0588.r1r2_fastp	3980318.0	0.0	0.0	81006.0
COPE-0589.r1r2_fastp	7923612.0	0.0	0.0	166350.0
COPE-0590.r1r2_fastp	7892.0	0.0	0.0	128.0
COPE-0591.r1r2_fastp	2611300.0	0.0	0.0	115744.0
COPE-0592.r1r2_fastp	3294324.0	0.0	0.0	56622.0
COPE-0593.r1r2_fastp	1203316.0	0.0	0.0	93790.0
COPE-0594.r1r2_fastp	3528972.0	0.0	0.0	176288.0
COPE-0595.r1r2_fastp	9661952.0	0.0	0.0	206940.0
COPE-0596.r1r2_fastp	21047680.0	0.0	0.0	350372.0
COPE-0597.r1r2_fastp	6664590.0	0.0	0.0	145192.0
COPE-0598.r1r2_fastp	67372.0	0.0	0.0	1884.0
COPE-0599.r1r2_fastp	200126.0	0.0	0.0	3714.0
COPE-0600.r1r2_fastp	10009696.0	0.0	0.0	182662.0
COPE-0601.r1r2_fastp	5504524.0	0.0	0.0	96958.0
COPE-0602.r1r2_fastp	4656410.0	0.0	0.0	99398.0
COPE-0603.r1r2_fastp	1583450.0	0.0	0.0	21906.0
COPE-0604.r1r2_fastp	705840.0	0.0	0.0	10660.0
COPE-0605.r1r2_fastp	475782.0	0.0	0.0	15390.0
COPE-0606.r1r2_fastp	283900.0	0.0	0.0	19866.0
COPE-0607.r1r2_fastp	10415754.0	0.0	0.0	252522.0
COPE-0608.r1r2_fastp	2366134.0	0.0	0.0	83162.0
COPE-0609.r1r2_fastp	6492.0	0.0	0.0	190.0
COPE-0610.r1r2_fastp	4307308.0	0.0	0.0	159236.0
COPE-0611.r1r2_fastp	10729744.0	0.0	0.0	222910.0
COPE-0612.r1r2_fastp	3307270.0	0.0	0.0	137318.0
COPE-0613.r1r2_fastp	7756974.0	0.0	0.0	144482.0
COPE-0614.r1r2_fastp	9054602.0	0.0	0.0	2376246.0
COPE-0615.r1r2_fastp	2714580.0	0.0	0.0	247500.0
COPE-0616.r1r2_fastp	8275522.0	0.0	0.0	395176.0
COPE-0617.r1r2_fastp	2077452.0	0.0	0.0	603954.0
COPE-0618.r1r2_fastp	8586344.0	0.0	0.0	209152.0
COPE-0619.r1r2_fastp	1712162.0	0.0	0.0	27300.0
COPE-0620.r1r2_fastp	2239502.0	0.0	0.0	124914.0
COPE-0621.r1r2_fastp	3201722.0	0.0	0.0	430986.0
COPE-0622.r1r2_fastp	288138.0	0.0	0.0	13480.0
COPE-0623.r1r2_fastp	5303476.0	0.0	0.0	1201502.0
COPE-0624.r1r2_fastp	3280106.0	0.0	0.0	358302.0
COPE-0625.r1r2_fastp	152912.0	0.0	0.0	12802.0
COPE-0626.r1r2_fastp	1169756.0	0.0	0.0	17614.0
COPE-0627.r1r2_fastp	2891312.0	0.0	0.0	44832.0
COPE-0628.r1r2_fastp	37600.0	0.0	0.0	634.0
COPE-0629.r1r2_fastp	3220914.0	0.0	0.0	45772.0
COPE-0630.r1r2_fastp	6811636.0	0.0	0.0	126998.0
COPE-0631.r1r2_fastp	5517316.0	0.0	0.0	293992.0
COPE-0632.r1r2_fastp	659334.0	0.0	0.0	27326.0
COPE-0633.r1r2_fastp	7953478.0	0.0	0.0	290810.0
COPE-0634.r1r2_fastp	7026950.0	0.0	0.0	135752.0
COPE-0635.r1r2_fastp	435220.0	0.0	0.0	13834.0
COPE-0636.r1r2_fastp	4387968.0	0.0	0.0	64666.0
COPE-0637.r1r2_fastp	7875688.0	0.0	0.0	276304.0
COPE-0638.r1r2_fastp	4482646.0	0.0	0.0	96884.0
COPE-0639.r1r2_fastp	9010400.0	0.0	0.0	388738.0
COPE-0640.r1r2_fastp	15094962.0	0.0	0.0	260898.0
COPE-0641.r1r2_fastp	22668.0	0.0	0.0	1420.0
COPE-0642.r1r2_fastp	1450132.0	0.0	0.0	109392.0
COPE-0643.r1r2_fastp	1277012.0	0.0	0.0	94456.0
COPE-0644.r1r2_fastp	1495126.0	0.0	0.0	72234.0
COPE-0645.r1r2_fastp	10577598.0	0.0	0.0	518146.0
COPE-0646.r1r2_fastp	703678.0	0.0	0.0	16298.0
COPE-0647.r1r2_fastp	3860420.0	0.0	0.0	174754.0
COPE-0648.r1r2_fastp	258024.0	0.0	0.0	4314.0
COPE-0649.r1r2_fastp	7741270.0	0.0	0.0	170134.0
COPE-0650.r1r2_fastp	7785286.0	0.0	0.0	136520.0
COPE-0651.r1r2_fastp	2536964.0	0.0	0.0	54502.0
COPE-0652.r1r2_fastp	1933438.0	0.0	0.0	83218.0
COPE-0653.r1r2_fastp	1968266.0	0.0	0.0	37852.0
