1	12698544
2	11690269
3	7637150
4	5491797
5	999525
6	917839
7	646386
8	627337
9	626552
10	514542
11	478695
12	444787
13	431728
14	422425
15	394501
16	370807
17	363340
18	346883
19	317388
20	310213
21	308730
22	295277
23	290716
24	287524
25	282376
26	269944
27	258408
28	253476
29	241613
30	236986
31	234878
32	225561
33	219217
34	218424
35	217650
36	211029
37	210781
38	210302
39	208751
40	208448
41	205922
42	205522
43	202440
44	200276
45	199535
46	196718
47	196339
48	194718
49	194045
50	191723
51	190163
52	189290
53	188262
54	187952
55	187789
56	186229
57	185789
58	184828
59	184800
60	182411
61	182176
62	180488
63	180006
64	179454
65	178920
66	178258
67	178244
68	177248
69	175756
70	174107
71	173984
72	173144
73	172976
74	172916
75	171803
76	168929
77	168520
78	167596
79	166902
80	166869
81	166043
82	165580
83	165102
84	163265
85	162653
86	162041
87	161874
88	161862
89	160970
90	160911
91	160359
92	159560
93	159272
94	158999
95	158646
96	157969
97	157554
98	157084
99	157028
100	156906
101	156891
102	156759
103	156451
104	155952
105	155930
106	155290
107	154989
108	154834
109	154648
110	153888
111	153821
112	153597
113	153334
114	152895
115	152669
116	152616
117	152331
118	151999
119	151629
120	150281
121	150219
122	149876
123	149156
124	148761
125	148709
126	147811
127	147686
128	147595
129	147569
130	147454
131	147023
132	147019
133	146966
134	146434
135	146358
136	146098
137	145730
138	145648
139	145515
140	145232
141	145109
142	144960
143	144865
144	144863
145	144548
146	144400
147	144036
148	144023
149	143936
150	143652
151	143568
152	143035
153	142552
154	142527
155	142222
156	141911
157	141709
158	141030
159	140956
160	140851
161	140721
162	140337
163	140183
164	139434
165	139232
166	139082
167	138860
168	138599
169	138404
170	138300
171	138032
172	137463
173	137199
174	136864
175	136544
176	136318
177	136299
178	136180
179	135807
180	135698
181	135619
182	135163
183	135089
184	134931
185	134805
186	134677
187	134462
188	134436
189	134389
190	134356
191	134307
192	134146
193	134140
194	134087
195	133994
196	133572
197	133521
198	133489
199	133283
200	132971
201	132795
202	132608
203	132489
204	132369
205	132294
206	132280
207	131964
208	131926
209	131787
210	131653
211	130777
212	130694
213	130504
214	130499
215	130052
216	129806
217	129673
218	129550
219	129311
220	129211
221	129135
222	129083
223	128942
224	128902
225	128859
226	128840
227	128759
228	128727
229	128304
230	128146
231	128136
232	128054
233	127979
234	127963
235	127541
236	127483
237	127415
238	127355
239	127317
240	127142
241	127110
242	126950
243	126750
244	126542
245	126322
246	125872
247	125627
248	125582
249	125527
250	125373
251	125283
252	125140
253	125090
254	124897
255	124830
256	124622
257	124485
258	124460
259	124103
260	123873
261	123665
262	123516
263	123435
264	123382
265	123123
266	123117
267	123030
268	123008
269	122129
270	122054
271	121870
272	121694
273	121517
274	121380
275	121348
276	121214
277	121021
278	120902
279	120889
280	120859
281	120679
282	120613
283	120596
284	120547
285	120483
286	120428
287	120307
288	120278
289	120236
290	120219
291	120193
292	120117
293	120057
294	119671
295	119640
296	119417
297	119221
298	119134
299	118773
300	118699
301	118648
302	118554
303	118549
304	118500
305	118412
306	118386
307	118337
308	118321
309	118036
310	118035
311	117929
312	117928
313	117818
314	117715
315	117571
316	117513
317	117311
318	117300
319	117262
320	117254
321	117252
322	117086
323	116981
324	116804
325	116710
326	116603
327	116598
328	116582
329	116563
330	116447
331	116355
332	115827
333	115814
334	115751
335	115717
336	115611
337	115554
338	115538
339	115481
340	115451
341	115422
342	115281
343	115268
344	115115
345	115113
346	115048
347	114938
348	114914
349	114777
350	114737
351	114737
352	114706
353	114680
354	114640
355	114602
356	114584
357	114408
358	114347
359	114307
360	114295
361	114145
362	114099
363	114003
364	114000
365	113952
366	113937
367	113722
368	113694
369	113663
370	113603
371	113526
372	113412
373	113336
374	113306
375	113239
376	113127
377	113122
378	113086
379	113083
380	113034
381	112940
382	112864
383	112849
384	112816
385	112676
386	112632
387	112594
388	112584
389	112418
390	112412
391	112358
392	112281
393	112227
394	112018
395	111908
396	111877
397	111829
398	111818
399	111796
400	111754
401	111303
402	111281
403	111140
404	111020
405	110869
406	110768
407	110748
408	110693
409	110574
410	110555
411	110538
412	110513
413	110509
414	110420
415	110243
416	110239
417	110208
418	110191
419	110148
420	110141
421	110125
422	110090
423	109985
424	109960
425	109957
426	109923
427	109900
428	109807
429	109762
430	109737
431	109556
432	109392
433	109382
434	109382
435	109379
436	109371
437	109292
438	109239
439	109125
440	109011
441	108925
442	108885
443	108861
444	108782
445	108683
446	108660
447	108656
448	108621
449	108519
450	108204
451	108137
452	108137
453	108135
454	108035
455	108033
456	107935
457	107928
458	107894
459	107855
460	107686
461	107633
462	107627
463	107551
464	107481
465	107239
466	107201
467	107169
468	107138
469	107131
470	107118
471	106959
472	106892
473	106797
474	106624
475	106528
476	106494
477	106411
478	106211
479	106162
480	106131
481	106014
482	105889
483	105831
484	105815
485	105791
486	105671
487	105625
488	105421
489	105362
490	105357
491	105186
492	105178
493	105129
494	105091
495	105086
496	105079
497	104928
498	104913
499	104839
500	104705
501	104704
502	104314
503	104288
504	104233
505	104211
506	104188
507	104099
508	104091
509	103985
510	103982
511	103765
512	103724
513	103714
514	103672
515	103607
516	103581
517	103552
518	103529
519	103433
520	103419
521	103417
522	103392
523	103328
524	103298
525	103282
526	103272
527	103255
528	103201
529	103176
530	103121
531	103120
532	103110
533	103032
534	103003
535	102968
536	102945
537	102913
538	102892
539	102883
540	102853
541	102769
542	102728
543	102649
544	102647
545	102628
546	102611
547	102588
548	102578
549	102549
550	102541
551	102505
552	102449
553	102437
554	102422
555	102383
556	102308
