Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0582.fp2.repr,z0,1,0,0,0,0,0
COPE_0583.fp2.repr,z1,0,1,0,0,0,0
COPE_0584.fp2.repr,z1,0,1,0,0,0,0
COPE_0585.fp2.repr,z1,0,1,0,0,0,0
COPE_0586.fp2.repr,NA,1,0,0,0,0,0
COPE_0587.fp2.repr,NA,1,0,0,0,0,0
COPE_0588.fp2.repr,NA,0,1,0,0,0,0
COPE_0589.fp2.repr,z1,0,1,0,0,0,0
COPE_0591.fp2.repr,NA,0,0,0,0,1,0
COPE_0592.fp2.repr,z1,0,1,0,0,0,0
COPE_0593.fp2.repr,z0,1,0,0,0,0,0
COPE_0594.fp2.repr,z0,1,0,0,0,0,0
COPE_0595.fp2.repr,z1,0,1,0,0,0,0
COPE_0596.fp2.repr,z1,0,1,0,0,0,0
COPE_0597.fp2.repr,z1,0,1,0,0,0,0
COPE_0598.fp2.repr,NA,2.9999880000480003e-5,0,0,0.9988800044799822,0.0010899956400174402,0
COPE_0599.fp2.repr,z1,0,1,0,0,0,0
COPE_0600.fp2.repr,NA,0,1,0,0,0,0
COPE_0601.fp2.repr,z1,0,1,0,0,0,0
COPE_0602.fp2.repr,z1,0,1,0,0,0,0
COPE_0603.fp2.repr,z1,0,1,0,0,0,0
COPE_0604.fp2.repr,z1,0,1,0,0,0,0
COPE_0605.fp2.repr,NA,0,1,0,0,0,0
COPE_0606.fp2.repr,NA,1,0,0,0,0,0
COPE_0607.fp2.repr,z1,0,1,0,0,0,0
COPE_0608.fp2.repr,z1,0,1,0,0,0,0
COPE_0610.fp2.repr,z1,0,1,0,0,0,0
COPE_0611.fp2.repr,z1,0,1,0,0,0,0
COPE_0612.fp2.repr,z1,0,1,0,0,0,0
COPE_0613.fp2.repr,z1,0,1,0,0,0,0
COPE_0614.fp2.repr,z0,1,0,0,0,0,0
COPE_0615.fp2.repr,NA,1,0,0,0,0,0
COPE_0616.fp2.repr,z0,1,0,0,0,0,0
COPE_0617.fp2.repr,NA,1,0,0,0,0,0
COPE_0618.fp2.repr,NA,1,0,0,0,0,0
COPE_0619.fp2.repr,z1,0,1,0,0,0,0
COPE_0620.fp2.repr,NA,1,0,0,0,0,0
COPE_0621.fp2.repr,z0,1,0,0,0,0,0
COPE_0622.fp2.repr,z0,1,0,0,0,0,0
COPE_0623.fp2.repr,z0,1,0,0,0,0,0
COPE_0624.fp2.repr,z0,1,0,0,0,0,0
COPE_0625.fp2.repr,z0,1,0,0,0,0,0
COPE_0626.fp2.repr,z0,1,0,0,0,0,0
COPE_0627.fp2.repr,NA,0,1,0,0,0,0
COPE_0628.fp2.repr,z1,0,0.99963,0,2e-5,0,3.5e-4
COPE_0629.fp2.repr,z1,0,1,0,0,0,0
COPE_0630.fp2.repr,NA,0,1,0,0,0,0
COPE_0631.fp2.repr,z1,0,1,0,0,0,0
COPE_0632.fp2.repr,z1,0,1,0,0,0,0
COPE_0633.fp2.repr,z1,0,1,0,0,0,0
COPE_0634.fp2.repr,NA,0,1,0,0,0,0
COPE_0635.fp2.repr,z1,0,1,0,0,0,0
COPE_0636.fp2.repr,z1,0,1,0,0,0,0
COPE_0637.fp2.repr,NA,0,1,0,0,0,0
COPE_0638.fp2.repr,NA,1,0,0,0,0,0
COPE_0639.fp2.repr,NA,0,1,0,0,0,0
COPE_0640.fp2.repr,NA,0,1,0,0,0,0
COPE_0641.fp2.repr,z1,0,1,0,0,0,0
