prior,Indiv,Z,hybrid_class,C1,C2,C3,C4,C5,mean_posterior_probability,sd_posterior_probability,cv_posterior_probability
Jeffreys,COPE_0500.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0500.fp2.repr,NA,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0500.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0500.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0500.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0500.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0501.fp2.repr,z0,pure_a,1,1,1,1,1,1,0,0
Jeffreys,COPE_0501.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0501.fp2.repr,z0,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0501.fp2.repr,z0,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0501.fp2.repr,z0,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0501.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0502.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0502.fp2.repr,NA,pure_b,0.35156,0.35181,0.35181,0.35199,0.35148,0.35173,2.072438177606361e-4,5.89212798910062e-4
Jeffreys,COPE_0502.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0502.fp2.repr,NA,F2,0.57722,0.57681,0.57681,0.57674,0.57725,0.576966,2.474469640144928e-4,4.288761625719589e-4
Jeffreys,COPE_0502.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0502.fp2.repr,NA,b_bx,0.07122,0.07138,0.07138,0.07127,0.07127,0.071304,7.231873892705605e-5,0.0010142311641290257
Jeffreys,COPE_0503.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0503.fp2.repr,NA,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0503.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0503.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0503.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0503.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0504.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0504.fp2.repr,NA,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0504.fp2.repr,NA,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0504.fp2.repr,NA,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0504.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0504.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0505.fp2.repr,z0,pure_a,1,1,1,1,1,1,0,0
Jeffreys,COPE_0505.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0505.fp2.repr,z0,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0505.fp2.repr,z0,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0505.fp2.repr,z0,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0505.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0506.fp2.repr,z0,pure_a,1,1,1,1,1,1,0,0
Jeffreys,COPE_0506.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0506.fp2.repr,z0,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0506.fp2.repr,z0,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0506.fp2.repr,z0,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0506.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0507.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0507.fp2.repr,z1,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0507.fp2.repr,z1,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0507.fp2.repr,z1,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0507.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0507.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0508.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0508.fp2.repr,z1,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0508.fp2.repr,z1,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0508.fp2.repr,z1,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0508.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0508.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0509.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0509.fp2.repr,z1,pure_b,1,1,1,1,1,1,0,0
Jeffreys,COPE_0509.fp2.repr,z1,F1,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0509.fp2.repr,z1,F2,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0509.fp2.repr,z1,a_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0509.fp2.repr,z1,b_bx,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0510.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,NaN
