749401_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.99719	0.00000	0.00000	0.00000	0.00280
2	0.00000	0.99968	0.00000	0.00000	0.00000	0.00032
3	0.00000	0.99775	0.00000	0.00000	0.00000	0.00225
4	0.00000	0.74772	0.00005	0.05311	0.00001	0.19910
5	0.00000	0.99824	0.00000	0.00000	0.00000	0.00176
6	0.00000	0.99944	0.00000	0.00000	0.00000	0.00056
7	0.00000	0.81583	0.00000	0.00017	0.00000	0.18400
8	0.00000	0.99642	0.00000	0.00000	0.00000	0.00358
9	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
10	0.00000	0.00000	0.00066	0.56817	0.43116	0.00001
11	0.99564	0.00000	0.00000	0.00000	0.00436	0.00000
12	0.00000	0.95423	0.00000	0.00184	0.00000	0.04393
13	0.00000	0.99985	0.00000	0.00000	0.00000	0.00015
14	0.00000	0.99983	0.00000	0.00000	0.00000	0.00017
15	0.00000	0.99719	0.00000	0.00000	0.00000	0.00281
16	0.00000	0.98354	0.00000	0.00019	0.00000	0.01626
17	0.99950	0.00000	0.00000	0.00000	0.00050	0.00000
18	0.62291	0.00001	0.00173	0.11136	0.26327	0.00073
19	0.00000	0.81428	0.00014	0.02926	0.00002	0.15631
20	0.99972	0.00000	0.00000	0.00000	0.00028	0.00000
21	0.66274	0.00000	0.00117	0.09077	0.24488	0.00044
22	0.00000	0.82410	0.00006	0.02706	0.00001	0.14876
23	0.99093	0.00000	0.00000	0.00007	0.00901	0.00000
24	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
25	0.99938	0.00000	0.00000	0.00000	0.00062	0.00000
26	0.00000	0.99912	0.00000	0.00000	0.00000	0.00087
27	0.00000	0.99845	0.00000	0.00000	0.00000	0.00155
28	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
29	0.00000	0.98619	0.00000	0.00001	0.00000	0.01379
30	0.99991	0.00000	0.00000	0.00000	0.00009	0.00000
31	0.99590	0.00000	0.00000	0.00001	0.00409	0.00000
32	0.00000	0.98404	0.00000	0.00025	0.00000	0.01571
33	0.99851	0.00000	0.00000	0.00000	0.00149	0.00000
34	0.21475	0.12402	0.16309	0.16595	0.18875	0.14344
35	0.00000	0.98820	0.00000	0.00012	0.00000	0.01167
36	0.00000	0.99901	0.00000	0.00000	0.00000	0.00099
37	0.99801	0.00000	0.00000	0.00000	0.00199	0.00000
38	0.99988	0.00000	0.00000	0.00000	0.00012	0.00000
39	0.00000	0.99471	0.00000	0.00001	0.00000	0.00528
40	0.00000	0.97134	0.00000	0.00008	0.00000	0.02858
41	0.00000	0.99982	0.00000	0.00000	0.00000	0.00018
42	0.00000	0.39262	0.00000	0.01129	0.00000	0.59609
43	0.96129	0.00000	0.00000	0.00016	0.03855	0.00000
44	0.00000	0.99828	0.00000	0.00000	0.00000	0.00172
45	0.99988	0.00000	0.00000	0.00000	0.00012	0.00000
46	0.00000	0.89112	0.00000	0.00003	0.00000	0.10884
47	0.00000	0.99963	0.00000	0.00000	0.00000	0.00037
48	0.99962	0.00000	0.00000	0.00000	0.00038	0.00000
49	0.99637	0.00000	0.00000	0.00001	0.00362	0.00000
50	0.00000	0.99531	0.00000	0.00002	0.00000	0.00467
51	0.00000	0.99967	0.00000	0.00000	0.00000	0.00033
52	0.00000	0.99932	0.00000	0.00000	0.00000	0.00068
53	0.09578	0.00000	0.00000	0.01275	0.89147	0.00000
54	0.00000	0.99954	0.00000	0.00000	0.00000	0.00046
55	0.00000	0.99893	0.00000	0.00000	0.00000	0.00107
56	0.41156	0.00000	0.00000	0.27275	0.31569	0.00000
57	0.00000	0.98663	0.00000	0.00002	0.00000	0.01335
58	0.00000	0.99975	0.00000	0.00000	0.00000	0.00025
