112801_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
2	0.00000	0.94530	0.00000	0.00001	0.00000	0.05469
3	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
4	0.00000	0.99131	0.00000	0.00008	0.00000	0.00861
5	0.00000	0.99987	0.00000	0.00000	0.00000	0.00013
6	0.00000	0.99936	0.00000	0.00000	0.00000	0.00064
7	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
8	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
9	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
10	0.00000	0.00000	0.08071	0.19978	0.71951	0.00000
11	0.99981	0.00000	0.00000	0.00000	0.00019	0.00000
12	0.00000	0.99892	0.00000	0.00000	0.00000	0.00107
13	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
14	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
15	0.00000	0.99960	0.00000	0.00000	0.00000	0.00040
16	0.00000	0.99875	0.00000	0.00000	0.00000	0.00124
17	0.99837	0.00000	0.00000	0.00000	0.00163	0.00000
18	0.27817	0.00000	0.00017	0.18761	0.53401	0.00003
19	0.00000	0.99577	0.00000	0.00002	0.00000	0.00421
20	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
21	0.26029	0.00000	0.00000	0.46862	0.27109	0.00000
22	0.00000	0.99671	0.00000	0.00001	0.00000	0.00328
23	0.99850	0.00000	0.00000	0.00000	0.00149	0.00000
24	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
25	0.99993	0.00000	0.00000	0.00000	0.00007	0.00000
26	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
27	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
28	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
29	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
30	0.99942	0.00000	0.00000	0.00000	0.00058	0.00000
31	0.99984	0.00000	0.00000	0.00000	0.00016	0.00000
32	0.00000	0.43853	0.00002	0.07416	0.00000	0.48729
33	0.97707	0.00000	0.00000	0.00008	0.02285	0.00000
34	0.00053	0.58652	0.01413	0.12338	0.00659	0.26885
35	0.00000	0.99301	0.00000	0.00004	0.00000	0.00695
36	0.00000	0.99831	0.00000	0.00000	0.00000	0.00169
37	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
38	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
39	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
40	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
41	0.00000	0.99988	0.00000	0.00000	0.00000	0.00012
42	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
43	0.61478	0.00000	0.00000	0.00001	0.38521	0.00000
44	0.00000	0.99904	0.00000	0.00000	0.00000	0.00096
45	0.99984	0.00000	0.00000	0.00000	0.00016	0.00000
46	0.00000	0.99710	0.00000	0.00000	0.00000	0.00290
47	0.00000	0.99808	0.00000	0.00000	0.00000	0.00192
48	0.99943	0.00000	0.00000	0.00000	0.00057	0.00000
49	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
50	0.00000	0.99430	0.00000	0.00003	0.00000	0.00566
51	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
52	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
53	0.88572	0.00000	0.00000	0.00013	0.11415	0.00000
54	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
55	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
56	0.91890	0.00000	0.00000	0.00612	0.07497	0.00000
57	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
58	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
59	0.00000	0.99857	0.00000	0.00000	0.00000	0.00143
