ID,species,certainty,bitscore,evalue,pident,length
COPE_0676,Coryphopterus hyalinus,certain,217,-57.428291168191315,93.197,147
COPE_0680,Coryphopterus hyalinus,certain,278,-75.16178077809238,100,150
COPE_0682,Coryphopterus hyalinus,certain,261,-69.74714696902011,98,150
COPE_0688,Coryphopterus hyalinus,certain,270,-73.1249387366083,99.329,149
COPE_0690,Coryphopterus personatus,uncertain,277.5,-75.10012555376898,100,149.75
COPE_0702,Coryphopterus hyalinus,certain,274,-74.01290306969248,99.55533333333334,150
COPE_0703,Coryphopterus hyalinus,certain,272,-73.97881070093007,99.333,150
COPE_0704,Coryphopterus personatus,uncertain,278,-75.4001169279263,100,150
COPE_0705,Coryphopterus hyalinus,certain,266.5,-71.45493272198343,98.6665,150
COPE_0709,Coryphopterus hyalinus,certain,278,-75.20690839982342,100,150
COPE_0711,Coryphopterus personatus,uncertain,271.2857142857143,-72.21017027487467,99.23785714285714,150
COPE_0712,Coryphopterus hyalinus,certain,150,-37.109578981199085,100,81
COPE_0717,Coryphopterus hyalinus,certain,278,-75.64397414280688,100,150
COPE_0719,Coryphopterus hyalinus,certain,222,-58.52287874528034,93.6275,149
COPE_0720,Coryphopterus personatus,uncertain,259,-69.99139982823809,96.774,155
COPE_0721,Coryphopterus personatus,uncertain,275.75,-74.99068502955583,99.831,149.75
COPE_0722,Coryphopterus hyalinus,certain,275,-74.04152837942817,99.6665,150
COPE_0723,Coryphopterus hyalinus,certain,214,-56.464608078766965,92.625,149
COPE_0725,Coryphopterus hyalinus,certain,270.3333333333333,-72.5086136985768,99.111,150
COPE_0726,Coryphopterus hyalinus,certain,276.8,-74.54562471260243,99.8666,150
COPE_0727,Coryphopterus personatus,uncertain,278,-76.2839966563652,100,150
COPE_0729,Coryphopterus hyalinus,certain,274.5,-74.12930632078132,99.6655,149.75
COPE_0731,Coryphopterus hyalinus,certain,270,-73.1157712303674,99.329,149
COPE_0732,Coryphopterus hyalinus,certain,278,-75.00700490156866,100,150
COPE_0734,Coryphopterus hyalinus,certain,272,-73.62403967569307,98.90433333333333,152
COPE_0735,Coryphopterus hyalinus,uncertain,245.25,-65.31034860382468,99.26225,135.5
COPE_0744,Coryphopterus hyalinus,certain,279,-74.64397414280688,99.355,155
COPE_0746,Coryphopterus hyalinus,certain,278,-75.1266793981846,100,150
COPE_0748,Coryphopterus hyalinus,certain,278.3333333333333,-75.02743404004092,99.785,151.66666666666666
COPE_0756,Coryphopterus hyalinus,certain,278,-75.4672456210075,100,150
