ScientificName,ID,n,pident,length,mismatch,gapopen,evalue,bitscore
Coryphopterus hyalinus,COPE_0471,200,98.6665,150,2,0,2.611205e-71,266.5
Coryphopterus hyalinus,COPE_0481,200,99.3335,150,1,0,7.45345e-73,272.5
Coryphopterus hyalinus,COPE_0482,300,100,150,0,0,1.03e-75,278
Coryphopterus hyalinus,COPE_0483,100,99.355,155,0,1,2.46e-75,279
Coryphopterus hyalinus,COPE_0486,2,95.302,149,7,0,5.73e-64,237
Coryphopterus hyalinus,COPE_0488,3,92.589,148.33333333333334,10.666666666666666,0.3333333333333333,3.167e-56,213
Coryphopterus hyalinus,COPE_0491,36,95.28333333333335,149,7.027777777777778,0,1.0007222222222222e-62,236.83333333333334
Coryphopterus hyalinus,COPE_0492,5,93.90533333333335,149,8.833333333333334,0.25,6.400153633333334e-58,225
Coryphopterus hyalinus,COPE_0493,4,95.13425000000001,149,7.25,0,5.935e-63,235.5
Coryphopterus hyalinus,COPE_0495,100,99.32,147,1,0,1.36e-72,267
Coryphopterus hyalinus,COPE_0498,1,94.891,137,7,0,3.63e-57,215
Coryphopterus hyalinus,COPE_0499,51,94.62670212765957,141.53191489361703,7.178191489361702,0.5106382978723404,2.599670510638298e-53,218.54521276595744
Coryphopterus hyalinus,COPE_0500,100,97.279,147,4,0,4.93e-68,250
Coryphopterus hyalinus,COPE_0504,100,100,150,0,0,1.16e-75,278
Coryphopterus hyalinus,COPE_0505,9,94.516125,148.25,8.0625,0.0625,1.93457285e-58,229.1875
Coryphopterus hyalinus,COPE_0506,5,94.24950000000001,148,8.5,0,3.7750029e-58,227
Coryphopterus hyalinus,COPE_0508,700,99.72214285714286,150.85714285714286,0.42857142857142855,0,1.871442857142857e-74,277
Coryphopterus hyalinus,COPE_0509,1,95.302,149,7,0,1.37e-63,237
Coryphopterus hyalinus,COPE_0510,600,99.3295,149.83333333333334,1,0,2.6166668357333334e-66,272
Coryphopterus hyalinus,COPE_0511,2,94.24950000000001,148,8.5,0,4.420003395e-58,227
