999901_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.99951	0.00000	0.00000	0.00000	0.00049
2	0.00000	0.97438	0.00000	0.00000	0.00000	0.02562
3	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
4	0.00000	0.60321	0.00000	0.12369	0.00000	0.27309
5	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
6	0.00000	0.99989	0.00000	0.00000	0.00000	0.00011
7	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
8	0.00000	0.99593	0.00000	0.00000	0.00000	0.00407
9	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
10	0.00000	0.00000	0.00000	0.00230	0.99770	0.00000
11	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
12	0.00000	0.95993	0.00000	0.00136	0.00000	0.03871
13	0.00000	0.99991	0.00000	0.00000	0.00000	0.00009
14	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
16	0.00000	0.99994	0.00000	0.00000	0.00000	0.00006
17	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
18	0.83531	0.00008	0.00813	0.02144	0.13373	0.00131
19	0.00000	0.98712	0.00000	0.00017	0.00000	0.01272
20	0.99992	0.00000	0.00000	0.00000	0.00008	0.00000
21	0.00000	0.01008	0.00000	0.89565	0.00004	0.09423
22	0.00000	0.99908	0.00000	0.00000	0.00000	0.00092
23	0.99979	0.00000	0.00000	0.00000	0.00021	0.00000
24	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
25	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
26	0.00000	0.99983	0.00000	0.00000	0.00000	0.00017
27	0.00000	0.99993	0.00000	0.00000	0.00000	0.00007
28	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
29	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
30	0.99978	0.00000	0.00000	0.00000	0.00022	0.00000
31	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
32	0.00000	0.99576	0.00000	0.00002	0.00000	0.00422
33	0.99989	0.00000	0.00000	0.00000	0.00011	0.00000
34	0.00000	0.66054	0.00002	0.09376	0.00001	0.24568
35	0.00000	0.52832	0.00017	0.07887	0.00002	0.39262
36	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
37	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
38	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
39	0.00000	0.99983	0.00000	0.00000	0.00000	0.00017
