File	FilterID	FilterOrder	NumInd	NumContigs	NumMonorphicContigs	NumSNPContigs	NumInsContigs	NumDelContigs	NumSNPs	NumIns	NumDel	NumMissingGeno	NumGenoLess10X	NumGeno10-19X	NumGeno20-49X	NumGeno50-99X	NumGeno100-999X	NumGenoGreater999X
MiSeq_Initial.10.1.Fltr01.1.recode.vcf	1	recode	778	22217		22196	10166	10980	802505	14376	15715	327312021	111156923	40647194	57985484	43823256	67729351	1357769
MiSeq_Initial.10.1.Fltr02.2.recode.vcf	2	recode	778	22196		22196	0	0	802220	0	0	312162940	107140113	39265103	56102900	42453685	65688353	1314066
