999901_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
2	0.00000	0.99876	0.00000	0.00000	0.00000	0.00124
3	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
4	0.00000	0.93969	0.00000	0.00342	0.00000	0.05689
5	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
6	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
7	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
8	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
9	0.00000	0.99988	0.00000	0.00000	0.00000	0.00012
10	0.00002	0.00000	0.00000	0.00033	0.99965	0.00000
11	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
12	0.00000	0.92959	0.00000	0.00470	0.00000	0.06572
13	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
14	0.00000	0.99995	0.00000	0.00000	0.00000	0.00005
15	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
16	0.00000	0.93725	0.00000	0.00646	0.00000	0.05629
17	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000
18	0.93369	0.00000	0.00000	0.00415	0.06217	0.00000
19	0.00000	0.99810	0.00000	0.00000	0.00000	0.00190
20	0.99973	0.00000	0.00000	0.00000	0.00027	0.00000
21	0.00000	0.00007	0.00000	0.95530	0.00002	0.04460
22	0.00000	0.99851	0.00000	0.00000	0.00000	0.00149
23	0.99975	0.00000	0.00000	0.00000	0.00025	0.00000
24	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
25	0.99991	0.00000	0.00000	0.00000	0.00009	0.00000
26	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
27	0.00000	0.99992	0.00000	0.00000	0.00000	0.00008
28	0.00000	0.99961	0.00000	0.00000	0.00000	0.00039
29	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
30	0.99975	0.00000	0.00000	0.00000	0.00025	0.00000
31	0.99994	0.00000	0.00000	0.00000	0.00006	0.00000
32	0.00000	0.07604	0.00000	0.71219	0.00000	0.21177
33	0.99460	0.00000	0.00000	0.00000	0.00540	0.00000
34	0.00000	0.61531	0.00026	0.11662	0.00012	0.26769
35	0.00000	0.98885	0.00000	0.00012	0.00000	0.01103
36	0.00000	0.99982	0.00000	0.00000	0.00000	0.00018
37	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
38	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
39	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
40	0.00000	0.99996	0.00000	0.00000	0.00000	0.00004
41	0.00000	0.99997	0.00000	0.00000	0.00000	0.00003
42	0.00000	0.99900	0.00000	0.00000	0.00000	0.00100
43	0.99050	0.00000	0.00000	0.00000	0.00950	0.00000
44	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
45	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
46	0.00000	0.96775	0.00000	0.00000	0.00000	0.03225
47	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
48	0.99986	0.00000	0.00000	0.00000	0.00014	0.00000
49	0.99995	0.00000	0.00000	0.00000	0.00005	0.00000
50	0.00000	0.97743	0.00000	0.00051	0.00000	0.02205
51	0.00000	0.99998	0.00000	0.00000	0.00000	0.00002
52	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
